system:index,date,municipio,ndvi_mean,.geo
4_00000000000000000016,2005-05-01,San Jose,0.6990573296771175,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000017,2005-05-01,Supia,0.7528817740362381,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000018,2005-05-01,Victoria,0.7840850846054176,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000019,2005-05-01,Villamaria,0.495702826018482,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000001a,2005-05-01,Viterbo,0.7681937439715331,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000,2005-06-01,Aguadas,0.7622343362205258,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000001,2005-06-01,Anserma,0.7397465978494052,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000002,2005-06-01,Aranzazu,0.6825706858997566,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000003,2005-06-01,Belalcazar,0.713868299474401,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000004,2005-06-01,Chinchina,0.7735408696100478,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000005,2005-06-01,Filadelfia,0.7571841146736172,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000006,2005-06-01,La Dorada,0.755272513040344,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000007,2005-06-01,La Merced,0.7770462509285985,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000008,2005-06-01,Manizales,0.7018372731663435,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000009,2005-06-01,Manzanares,0.8116046741301515,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000a,2005-06-01,Marmato,0.7517506076357376,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000b,2005-06-01,Marquetalia,0.8545092448307254,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000c,2005-06-01,Marulanda,0.7538898981779412,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000d,2005-06-01,Neira,0.7140403406861686,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000e,2005-06-01,Norcasia,0.8009633338628476,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000000f,2005-06-01,Pacora,0.7829383314739325,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000010,2005-06-01,Palestina,0.7733573067630242,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000011,2005-06-01,Pensilvania,0.7220546352488733,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000012,2005-06-01,Riosucio,0.7861981047020351,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000013,2005-06-01,Risaralda,0.7448450062779879,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000014,2005-06-01,Salamina,0.7217017411526644,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000015,2005-06-01,Samana,0.8185066124813869,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000016,2005-06-01,San Jose,0.7577964005681038,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000017,2005-06-01,Supia,0.7596614932523108,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000018,2005-06-01,Victoria,0.821197928808522,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000019,2005-06-01,Villamaria,0.5274582891737346,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000001a,2005-06-01,Viterbo,0.7511895192650271,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000,2005-07-01,Aguadas,0.7265976983696911,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000001,2005-07-01,Anserma,0.753017033811445,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000002,2005-07-01,Aranzazu,0.6620338564674118,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000003,2005-07-01,Belalcazar,0.7501962571134195,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000004,2005-07-01,Chinchina,0.7748015972886895,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000005,2005-07-01,Filadelfia,0.7514702250958455,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000006,2005-07-01,La Dorada,0.684858867340227,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000007,2005-07-01,La Merced,0.7484258967316078,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000008,2005-07-01,Manizales,0.6342892874059566,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000009,2005-07-01,Manzanares,0.7575947896579784,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000a,2005-07-01,Marmato,0.7276212345822416,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000b,2005-07-01,Marquetalia,0.8040513158881498,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000000c,2005-07-01,Marulanda,0.662297258293164,"{""type"":""MultiPoint"",""coordinates"":[]}"
