municipio,date,temperature_2m,temperature_2m_min,temperature_2m_max,dewpoint_temperature_2m,total_precipitation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,surface_solar_radiation_downwards_sum,potential_evaporation_sum,total_evaporation_sum,surface_runoff_sum,sub_surface_runoff_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure
Neira,2011-09-01,289.44279668875697,284.6586036001109,295.4249224492937,287.3925301179917,0.02430266594090747,0.42302329452863374,0.4246007059812032,1.886833543742723E7,-0.006374045463343949,-0.0034313570965063783,0.009914325097991042,0.01049352955938979,-0.3736852013946555,0.0714772820232825,82753.88269261597
Norcasia,2011-09-01,296.776831094221,292.32424383170036,302.458650160132,290.12279112486556,0.004502492989447331,0.3501514062734481,0.3452986051824029,2.145489661128795E7,-0.02486346077464464,-0.003984158128060354,2.6470858467456137E-4,2.2159789587975864E-4,0.36213195856779723,-0.1310056489474312,92247.21177842881
Pacora,2011-09-01,291.2530751805955,286.09211494426677,297.7196150213256,288.59077156054144,0.015313726191699984,0.43492894335996135,0.4363948956268871,1.9731203546600875E7,-0.008995998055116274,-0.003505367311919785,0.0059544776493968225,0.0056214927231197365,-0.26449584165213,0.0703133792108362,84592.81658993675
Palestina,2011-09-01,290.9523105550696,286.42715206091907,296.7560927040557,289.40612983631166,0.04157905899275503,0.42675282024590033,0.4272871489312008,1.7689371995993596E7,-0.007473880235116368,-0.0036634037537802747,0.024815250795196607,0.012972009840004805,-0.08509333992955354,-0.08088626722324949,86414.5969280015
Pensilvania,2011-09-01,288.8444593906738,284.92076086812426,294.3952915418346,283.3967619184491,0.006357923466054287,0.4069375013693785,0.410437771474494,2.083803252772813E7,-0.010247559402907778,-0.003825165732717353,9.300975544240501E-4,0.0013507396164792696,-0.6392670582178671,0.13814878485681067,78588.91952981144
Riosucio,2011-09-01,287.6709190085891,284.3988006132525,292.4504822195486,285.8555236004112,0.018614241223608413,0.41335881671065805,0.41502926573134996,1.781247418935871E7,-0.0061445883596575376,-0.0036454313892790805,0.005188460709645956,0.009185502569376083,0.22726052473961644,-0.013286874432805126,77910.28832829405
Risaralda,2011-09-01,290.6473396385832,287.0360032054982,295.3692243453905,288.9790789760262,0.024894861280029466,0.4238867086860478,0.42455368720578185,1.6711874610683495E7,-0.005984544993817121,-0.0033539450710581243,0.011775188957920606,0.00937233460678647,0.09272173269889886,-0.20409475437069305,84332.56172369429
Salamina,2011-09-01,288.4543187344747,283.66227967654766,294.7278675512726,285.69693482206236,0.014891059841734954,0.42360769381121627,0.4249832219729593,1.9851073971751455E7,-0.0075136152815803905,-0.0036462881774426466,0.00407658529018691,0.0067452857683982835,-0.5136938025723516,0.055220346797073175,79661.85658700141
Samana,2011-09-01,294.3202467725931,289.8907153765361,299.7787559441158,287.5381298774494,0.003575238630828435,0.33065944092344,0.3232628653244097,2.1273838761437073E7,-0.02179452867380211,-0.0034867617939947316,1.920988041983576E-4,2.0129773195604893E-4,-0.1857915111950466,0.04218288730331559,87718.93078441663
San Jose,2011-09-01,291.04056116739906,287.7247613032659,295.8683381120364,289.41004600524906,0.023085394511563467,0.42438751906156547,0.424842126833068,1.63393361015625E7,-0.0060121047620971995,-0.0033556403124142277,0.010748911249296117,0.008651199174346404,0.13970650964313086,-0.2782579329278734,84952.74587131076
Supia,2011-09-01,288.52724210324004,284.4860121575783,293.69378973952536,286.55988102808533,0.01966223471417242,0.41542898226518504,0.4177389675113394,1.867193036767322E7,-0.006869622545965601,-0.0035272609218071384,0.0053723072142487895,0.010354862134257207,0.11828133047395975,0.0609278450942863,79930.47282711793
Victoria,2011-09-01,297.3677630419454,292.3804503927122,303.455077887896,289.10164248389384,0.0036233007500391734,0.32469882811055284,0.31869943467043443,2.137319368558723E7,-0.02745733497945985,-0.0035480070294072142,1.9259951392510777E-4,1.4512047827227207E-4,0.5483125227103821,0.2040636427730258,93147.89914615368
Villamaria,2011-09-01,286.2121752388787,282.1612158052542,292.5251457612482,284.91426442017325,0.04452317385081537,0.43219627932872506,0.43548088899774257,1.9228472715763666E7,-0.005326876393924338,-0.0035899752855134285,0.018792053016631963,0.021808157242070206,-0.41926371132237106,0.12369988579508005,76637.88520760882
Viterbo,2011-09-01,291.0040244581142,288.03074805818756,295.68937614704004,289.4223974571374,0.01972872075681179,0.42291646707103636,0.4235321818640405,1.5920888759698274E7,-0.006233489737128731,-0.0033415979992105875,0.008088367864832111,0.007921230763025667,0.20401066925333838,-0.3303363170203578,84688.91070682918
Aguadas,2011-10-01,290.82896582146765,287.7119176815527,295.3670745894357,289.0220516100838,0.016577053780400707,0.44377370492324675,0.4460786676515621,1.3899200738205459E7,-0.006585331512666673,-0.002721614599180565,0.005067574137408479,0.007892107887818084,0.12217264372478727,0.20600882382401683,85093.70582115892
Anserma,2011-10-01,289.7882374152186,287.44304364749314,293.25263064867255,288.348501939632,0.02746764494316957,0.4224039540602488,0.42356886978311153,1.257642221389717E7,-0.003740341660985727,-0.002517700257538635,0.012192786830283244,0.012341781331176421,0.427654892759567,-0.05433551527070131,83452.21352005424
