municipio,fecha,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles,producto
Aranzazu,2005-04-07,0.6805391933479967,0.7603831623415812,0.0855,0.9887,0.19720974457295634,2579,MODIS/061/MOD13Q1
Marulanda,2005-04-07,0.6370506573482835,0.6816680835232294,0.0483,0.9777,0.16952375588379642,6340,MODIS/061/MOD13Q1
Filadelfia,2005-04-07,0.7883368970755325,0.7989012398817938,0.10260000000000001,0.9038,0.0692037942887871,3244,MODIS/061/MOD13Q1
Salamina,2005-04-07,0.6494509287168971,0.6895071803411044,0.0618,0.9973000000000001,0.17216153912751356,6505,MODIS/061/MOD13Q1
Marmato,2005-04-07,0.7734321606508708,0.7634496314496312,0.3522,0.996,0.060456760255910603,667,MODIS/061/MOD13Q1
Supia,2005-04-07,0.7874379835187384,0.7994866352833112,0.08310000000000001,0.9607,0.06616029089037812,2094,MODIS/061/MOD13Q1
Pensilvania,2005-04-07,0.5352480747119848,0.5880755708540658,0.041600000000000005,0.9988,0.2283481307631336,8359,MODIS/061/MOD13Q1
Riosucio,2005-04-07,0.787512927531329,0.8180507752388476,0.0748,0.9888,0.11524409953401551,6439,MODIS/061/MOD13Q1
Pácora,2005-04-07,0.696906431652832,0.7321745955588362,0.0618,0.9964000000000001,0.13169313978444788,4323,MODIS/061/MOD13Q1
Victoria,2005-04-07,0.745104335125807,0.755957941428746,0.1253,0.9986,0.10975064745990838,9336,MODIS/061/MOD13Q1
Aguadas,2005-04-07,0.7114066693292396,0.7402825014358778,0.0546,0.9959,0.12351296855512532,7981,MODIS/061/MOD13Q1
Samaná,2005-04-07,0.5932389834847023,0.6226590720451524,0.0367,0.9985,0.19102858500742265,12608,MODIS/061/MOD13Q1
Viterbo,2005-04-07,0.7541593543821977,0.7712556906324582,0.2921,0.9981000000000001,0.0903207619511274,1974,MODIS/061/MOD13Q1
La Merced,2005-04-07,0.715607526291851,0.7318222167487685,0.18910000000000002,0.9197000000000001,0.09052594973258302,1533,MODIS/061/MOD13Q1
Palestina,2005-04-07,0.8094579982502255,0.8140822504157175,0.4635,0.9693,0.04369261954986137,1963,MODIS/061/MOD13Q1
Chinchiná,2005-04-07,0.8055730059910768,0.8220155241669961,0.2533,0.8981,0.07085076446116596,1944,MODIS/061/MOD13Q1
La Dorada,2005-04-07,0.6724297501662208,0.6833918752706801,-0.0407,0.9845,0.09985988177476307,9281,MODIS/061/MOD13Q1
Belalcázar,2005-04-07,0.8028700468597092,0.8097700264145695,0.516,0.894,0.04747954142954403,1968,MODIS/061/MOD13Q1
San José,2005-04-07,0.8032415111880488,0.8137770080915729,0.45070000000000005,0.898,0.05463890418209874,1095,MODIS/061/MOD13Q1
Marquetalia,2005-04-07,0.5501923591272367,0.6079966374987709,0.0589,0.9928,0.15499408787971197,1587,MODIS/061/MOD13Q1
Norcasia,2005-04-07,0.7339071166135128,0.7676689437229436,0.1306,0.9985,0.128363342841542,3901,MODIS/061/MOD13Q1
Manizales,2005-04-07,0.686177468251534,0.7599120494095716,0.042,0.9969,0.17463591574986534,7420,MODIS/061/MOD13Q1
Villamaria,2005-04-23,0.4982002099847112,0.5137091058244463,-0.0516,0.9325,0.3075418624849303,7588,MODIS/061/MOD13Q1
Risaralda,2005-04-23,0.6325453956377151,0.6617466666666669,0.1384,0.9755,0.1839604194710807,1602,MODIS/061/MOD13Q1
Neira,2005-04-23,0.6034784338579432,0.6193467953954698,0.0318,0.9951000000000001,0.17465738467975397,6263,MODIS/061/MOD13Q1
Anserma,2005-04-23,0.6883136432428386,0.7396245274867693,0.0805,0.9981000000000001,0.15473019776604643,3594,MODIS/061/MOD13Q1
Manzanares,2005-04-23,0.6492300503421331,0.669608899930265,0.0743,0.9645,0.1398531978041474,3362,MODIS/061/MOD13Q1
Aranzazu,2005-04-23,0.46154828091760597,0.46695562992125983,0.047,0.9322,0.1337168012696403,2579,MODIS/061/MOD13Q1
Marulanda,2005-04-23,0.566322945737946,0.6032330221130222,0.056900000000000006,0.9898,0.1766449555453405,6340,MODIS/061/MOD13Q1
Filadelfia,2005-04-23,0.5476774374378696,0.5413137606837607,0.11120000000000001,0.9863000000000001,0.17957424202023206,3244,MODIS/061/MOD13Q1
Salamina,2005-04-23,0.5323091184314579,0.54530909711788,0.033100000000000004,0.9746,0.191152896649749,6505,MODIS/061/MOD13Q1
Marmato,2005-04-23,0.4972540103090061,0.5301666666666667,0.0918,0.8069000000000001,0.14733205056984866,667,MODIS/061/MOD13Q1
Supia,2005-04-23,0.5754999491244581,0.5805140369505204,0.08410000000000001,0.9863000000000001,0.15581558954654906,2094,MODIS/061/MOD13Q1
Pensilvania,2005-04-23,0.6147249061136292,0.6502960224792664,0.047,0.9964000000000001,0.18952252631918307,8359,MODIS/061/MOD13Q1
Riosucio,2005-04-23,0.5805302814675956,0.6311362278308322,0.0408,0.9863000000000001,0.15948707389778896,6439,MODIS/061/MOD13Q1
Pácora,2005-04-23,0.5569704342915179,0.5841159279038719,0.030000000000000002,0.9961000000000001,0.19591681933756142,4323,MODIS/061/MOD13Q1
Victoria,2005-04-23,0.7930989762733369,0.8066911863241992,0.1341,0.9768,0.08387664398892536,9336,MODIS/061/MOD13Q1
Aguadas,2005-04-23,0.655395913792253,0.7093116099911762,0.0158,0.9988,0.17099621398173998,7981,MODIS/061/MOD13Q1
Samaná,2005-04-23,0.617319466949922,0.6817706769055747,0.0461,0.9991000000000001,0.227083915418805,12608,MODIS/061/MOD13Q1
Viterbo,2005-04-23,0.7419878742174849,0.755649294565084,0.1907,0.9900000000000001,0.107973209587897,1974,MODIS/061/MOD13Q1
La Merced,2005-04-23,0.5957994555554023,0.619262282229965,0.1268,0.9961000000000001,0.16123314922760693,1533,MODIS/061/MOD13Q1
Palestina,2005-04-23,0.621707009976321,0.6385780806142035,0.1199,0.9459000000000001,0.14134376287277592,1963,MODIS/061/MOD13Q1
Chinchiná,2005-04-23,0.6865983914346873,0.7324385690789473,0.1711,0.9868,0.1558878212564743,1944,MODIS/061/MOD13Q1
La Dorada,2005-04-23,0.7549309034672789,0.7676481672724805,0.0534,0.9682000000000001,0.09423716419143541,9281,MODIS/061/MOD13Q1
Belalcázar,2005-04-23,0.6667251305131298,0.7128927062433611,0.1308,0.9907,0.15368416355773795,1968,MODIS/061/MOD13Q1
San José,2005-04-23,0.6562873978168877,0.6976357142857142,0.1237,0.9694,0.1727856501900743,1095,MODIS/061/MOD13Q1
Marquetalia,2005-04-23,0.7797967697035384,0.8181126285763678,0.18510000000000001,0.9851000000000001,0.11655167005826678,1587,MODIS/061/MOD13Q1
Norcasia,2005-04-23,0.7974032872809375,0.8103882121573303,0.1835,0.9500000000000001,0.06611450559912355,3901,MODIS/061/MOD13Q1
Manizales,2005-04-23,0.5901520642732707,0.5916844364858291,0.0275,0.9709000000000001,0.17129342489571694,7420,MODIS/061/MOD13Q1
Villamaria,2005-05-09,0.5482199929271716,0.5898721297499183,-0.0632,0.9985,0.2403329929559941,7588,MODIS/061/MOD13Q1
Risaralda,2005-05-09,0.7294884017453466,0.7912570610885626,0.06380000000000001,0.9874,0.17125130701773825,1602,MODIS/061/MOD13Q1
Neira,2005-05-09,0.7031716303007701,0.7516035987017946,0.0988,0.9956,0.15397111050730097,6261,MODIS/061/MOD13Q1
Anserma,2005-05-09,0.7034528484146426,0.7636123382005992,0.0516,0.9989,0.1713316782929499,3594,MODIS/061/MOD13Q1
