municipio,date,anio,mes,et_real_mm,et_potencial_mm,n_pixeles
La Merced,2020-09-01,2020,9,114.28481132075471,114.28481132075471,9
Palestina,2020-09-01,2020,9,116.17211036539896,116.17211036539896,12
Chinchiná,2020-09-01,2020,9,115.07838044308635,115.07838044308635,14
La Dorada,2020-09-01,2020,9,130.73288192331103,130.73288192331103,48
Belalcázar,2020-09-01,2020,9,114.3542772861357,114.3542772861357,14
San José,2020-09-01,2020,9,114.30290456431538,114.30290456431538,7
Marquetalia,2020-09-01,2020,9,112.84786245353162,114.8079925650558,11
Norcasia,2020-09-01,2020,9,124.90496323529416,124.90496323529416,24
Manizales,2020-09-01,2020,9,106.95425753840321,106.95425753840321,35
Villamaria,2020-10-01,2020,10,83.94514411602717,83.94514411602717,33
Risaralda,2020-10-01,2020,10,106.88964879852126,106.88964879852126,15
Neira,2020-10-01,2020,10,97.81268115942031,97.81268115942031,33
Anserma,2020-10-01,2020,10,106.35338135254105,106.35338135254105,21
Manzanares,2020-10-01,2020,10,99.3700042247571,99.3700042247571,18
Aranzazu,2020-10-01,2020,10,93.76681564245811,93.76681564245811,14
Marulanda,2020-10-01,2020,10,87.6631286159324,87.6631286159324,34
Filadelfia,2020-10-01,2020,10,107.34973958333335,107.34973958333335,15
Salamina,2020-10-01,2020,10,93.08589909443725,93.08589909443725,34
Marmato,2020-10-01,2020,10,107.74838709677421,107.74838709677421,7
Supia,2020-10-01,2020,10,106.55982142857145,106.55982142857145,14
Pensilvania,2020-10-01,2020,10,96.85842940685049,97.01690893901423,40
Riosucio,2020-10-01,2020,10,97.26064291920072,97.26064291920072,30
Pácora,2020-10-01,2020,10,101.61684005201559,101.61684005201559,21
Victoria,2020-10-01,2020,10,124.0126383487885,124.94750224349386,39
Aguadas,2020-10-01,2020,10,103.40071929824563,103.40071929824563,38
Samaná,2020-10-01,2020,10,110.4206183298493,114.25964352514029,56
Viterbo,2020-10-01,2020,10,108.10395227442207,108.10395227442207,11
La Merced,2020-10-01,2020,10,106.24745283018866,106.24745283018866,9
Palestina,2020-10-01,2020,10,107.54131245339299,107.54131245339299,12
Chinchiná,2020-10-01,2020,10,105.66493506493505,105.66493506493505,14
La Dorada,2020-10-01,2020,10,128.26098600121728,128.33922702373707,48
Belalcázar,2020-10-01,2020,10,106.62249262536872,106.62249262536872,14
San José,2020-10-01,2020,10,106.35809128630707,106.35809128630707,7
Marquetalia,2020-10-01,2020,10,107.12100371747215,107.12100371747215,11
Norcasia,2020-10-01,2020,10,120.1270955882353,124.62198529411765,24
Manizales,2020-10-01,2020,10,96.73186042101271,96.73186042101271,35
Villamaria,2020-11-01,2020,11,82.0244721865247,82.0244721865247,33
Risaralda,2020-11-01,2020,11,106.55785582255083,106.55785582255083,15
Neira,2020-11-01,2020,11,94.88113677536234,94.88113677536234,33
Anserma,2020-11-01,2020,11,105.9464585834334,105.9464585834334,21
Manzanares,2020-11-01,2020,11,94.47672158850871,94.47672158850871,18
Aranzazu,2020-11-01,2020,11,90.14603351955309,90.14603351955309,14
Marulanda,2020-11-01,2020,11,83.2796395193592,83.2796395193592,34
Filadelfia,2020-11-01,2020,11,104.92907986111113,104.92907986111113,15
Salamina,2020-11-01,2020,11,87.74665804225957,87.74665804225957,34
Marmato,2020-11-01,2020,11,102.05852534562213,102.05852534562213,7
Supia,2020-11-01,2020,11,102.29354395604396,102.29354395604396,14
Pensilvania,2020-11-01,2020,11,89.61370091896411,89.61370091896411,40
Riosucio,2020-11-01,2020,11,93.36989574283237,93.36989574283237,30
Pácora,2020-11-01,2020,11,94.99999999999999,94.99999999999999,21
Victoria,2020-11-01,2020,11,113.36088842357162,113.36088842357162,39
Aguadas,2020-11-01,2020,11,95.50617543859649,95.50617543859649,38
Samaná,2020-11-01,2020,11,103.64727692815497,103.64727692815497,56
Viterbo,2020-11-01,2020,11,108.23803131991052,108.23803131991052,11
La Merced,2020-11-01,2020,11,102.09160377358491,102.09160377358491,9
Palestina,2020-11-01,2020,11,106.45913497390008,106.45913497390008,12
Chinchiná,2020-11-01,2020,11,105.01634835752483,105.01634835752483,14
La Dorada,2020-11-01,2020,11,115.33119293974443,115.33119293974443,48
Belalcázar,2020-11-01,2020,11,106.70538348082597,106.70538348082597,14
San José,2020-11-01,2020,11,106.6654218533887,106.6654218533887,7
Marquetalia,2020-11-01,2020,11,100.90631970260223,100.90631970260223,11
Norcasia,2020-11-01,2020,11,112.0302573529412,112.0302573529412,24
Manizales,2020-11-01,2020,11,94.4196472596245,94.4196472596245,35
Villamaria,2020-12-01,2020,12,82.72974114191298,83.14433633192583,33
Risaralda,2020-12-01,2020,12,101.54260628465805,101.54260628465805,15
Neira,2020-12-01,2020,12,93.91256793478261,93.91256793478261,33
Anserma,2020-12-01,2020,12,101.23709483793522,101.23709483793522,21
Manzanares,2020-12-01,2020,12,96.99340937896075,98.06890578791722,18
Aranzazu,2020-12-01,2020,12,89.96312849162011,89.96312849162011,14
Marulanda,2020-12-01,2020,12,84.99430351579889,85.26468624833116,34
Filadelfia,2020-12-01,2020,12,102.24713541666668,102.24713541666668,15
Salamina,2020-12-01,2020,12,88.96291504959032,88.96291504959032,34
Marmato,2020-12-01,2020,12,101.65506912442397,101.65506912442397,7
Supia,2020-12-01,2020,12,100.1971840659341,100.1971840659341,14
Pensilvania,2020-12-01,2020,12,91.81229741019214,91.8684544695071,40
Riosucio,2020-12-01,2020,12,91.01996090356215,91.01996090356215,30
Pácora,2020-12-01,2020,12,95.55234070221064,95.55234070221064,21
Victoria,2020-12-01,2020,12,115.97868680825603,116.0373167813341,39
Aguadas,2020-12-01,2020,12,96.17887719298245,96.17887719298245,38
Samaná,2020-12-01,2020,12,107.4686874243591,107.66640994608868,56
Viterbo,2020-12-01,2020,12,100.8758389261745,100.8758389261745,11
La Merced,2020-12-01,2020,12,99.81575471698113,99.81575471698113,9
Palestina,2020-12-01,2020,12,101.85935868754662,101.85935868754662,12
Chinchiná,2020-12-01,2020,12,101.85057295645531,101.85057295645531,14
La Dorada,2020-12-01,2020,12,115.57837796713329,116.45318015824711,48
Belalcázar,2020-12-01,2020,12,102.3321533923304,102.3321533923304,14
San José,2020-12-01,2020,12,102.55159059474413,102.55159059474413,7
Marquetalia,2020-12-01,2020,12,103.29544609665432,104.98959107806695,11
Norcasia,2020-12-01,2020,12,116.07915441176476,116.75268382352945,24
Manizales,2020-12-01,2020,12,93.45255073013465,93.46097098425942,35
Villamaria,2021-01-01,2021,1,83.30960161556821,88.65933541398934,33
Risaralda,2021-01-01,2021,1,111.13548983364139,111.14454713493531,15
Neira,2021-01-01,2021,1,93.27595108695655,102.6252490942029,33
Anserma,2021-01-01,2021,1,105.51524609843942,110.40424169667871,21
Manzanares,2021-01-01,2021,1,54.21301225179554,105.8091254752852,18
Aranzazu,2021-01-01,2021,1,81.54430167597766,98.76608938547487,14
Marulanda,2021-01-01,2021,1,58.25807743658213,92.31933689363598,34
Filadelfia,2021-01-01,2021,1,84.07986111111111,112.07578125,15
Salamina,2021-01-01,2021,1,60.78732212160413,96.5686718413109,34
Marmato,2021-01-01,2021,1,58.563594470046084,110.99792626728112,7
Supia,2021-01-01,2021,1,63.30776098901101,110.09553571428573,14
Pensilvania,2021-01-01,2021,1,54.50307435254803,100.33672514619887,40
Riosucio,2021-01-01,2021,1,75.21314074717638,99.4514335360556,30
Pácora,2021-01-01,2021,1,56.88358257477242,105.11098829648894,21
Victoria,2021-01-01,2021,1,55.643015255758286,132.21456775351479,39
Aguadas,2021-01-01,2021,1,53.44524561403509,105.1399298245614,38
Samaná,2021-01-01,2021,1,52.8165034657278,118.20084717790735,56
Viterbo,2021-01-01,2021,1,112.09082774049217,112.09082774049217,11
La Merced,2021-01-01,2021,1,68.78037735849055,109.98037735849057,9
Palestina,2021-01-01,2021,1,112.19008202833706,112.19008202833706,12
Chinchiná,2021-01-01,2021,1,110.4431627196333,110.4431627196333,14
La Dorada,2021-01-01,2021,1,56.74444613511869,136.01323797930618,48
Belalcázar,2021-01-01,2021,1,111.41954277286139,111.41954277286139,14
San José,2021-01-01,2021,1,111.13886583679117,111.13886583679117,7
Marquetalia,2021-01-01,2021,1,51.18921933085503,114.38159851301117,11
Norcasia,2021-01-01,2021,1,53.06702205882354,130.04139705882358,24
Manizales,2021-01-01,2021,1,99.59833112080409,101.77879764839749,35
Villamaria,2021-02-01,2021,2,76.96979988984764,78.82566550394714,33
Risaralda,2021-02-01,2021,2,104.01451016635859,105.63807763401111,15
Neira,2021-02-01,2021,2,93.66705163043478,93.71120923913044,33
Anserma,2021-02-01,2021,2,104.18195278111249,104.72492997198887,21
Manzanares,2021-02-01,2021,2,94.57063793831858,94.57063793831858,18
Aranzazu,2021-02-01,2021,2,89.63290502793299,89.63290502793299,14
Marulanda,2021-02-01,2021,2,80.47986203827327,80.47986203827327,34
Filadelfia,2021-02-01,2021,2,104.91970486111111,104.99956597222223,15
Salamina,2021-02-01,2021,2,87.61263475636049,87.61263475636049,34
Marmato,2021-02-01,2021,2,103.15829493087557,103.42741935483872,7
Supia,2021-02-01,2021,2,102.93035714285718,102.93035714285718,14
Pensilvania,2021-02-01,2021,2,89.89649122807019,89.89649122807019,40
Riosucio,2021-02-01,2021,2,92.8157471763684,92.91044743701133,30
Pácora,2021-02-01,2021,2,96.09847204161247,96.51940832249676,21
Victoria,2021-02-01,2021,2,76.14745737361649,129.19863894705352,39
Aguadas,2021-02-01,2021,2,94.42640350877191,97.87647368421051,38
Samaná,2021-02-01,2021,2,100.77216415447246,113.02791286170097,56
Viterbo,2021-02-01,2021,2,104.01230425055928,106.53907531692768,11
La Merced,2021-02-01,2021,2,102.50943396226413,102.50943396226413,9
Palestina,2021-02-01,2021,2,103.3427293064877,105.71372110365401,12
Chinchiná,2021-02-01,2021,2,102.37639419404127,104.44621848739494,14
La Dorada,2021-02-01,2021,2,53.25004564820451,134.89376141205113,48
Belalcázar,2021-02-01,2021,2,104.18053097345133,106.80715339233042,14
San José,2021-02-01,2021,2,105.3825726141079,106.71590594744124,7
Marquetalia,2021-02-01,2021,2,106.02304832713756,106.02304832713756,11
Norcasia,2021-02-01,2021,2,71.30841911764705,129.09275735294122,24
Manizales,2021-02-01,2021,2,92.65008534041344,92.72641759908971,35
Villamaria,2021-03-01,2021,3,85.48814026069397,85.52852946576097,33
Risaralda,2021-03-01,2021,3,115.263123844732,115.263123844732,15
Neira,2021-03-01,2021,3,103.00543478260869,103.00543478260869,33
Anserma,2021-03-01,2021,3,113.87547018807528,113.87547018807528,21
Manzanares,2021-03-01,2021,3,102.84630333755811,102.84630333755811,18
Aranzazu,2021-03-01,2021,3,97.23329608938549,97.23329608938549,14
Marulanda,2021-03-01,2021,3,88.4395861148198,88.4395861148198,34
Filadelfia,2021-03-01,2021,3,114.63789062500003,114.63789062500003,15
Salamina,2021-03-01,2021,3,95.30377317809403,95.30377317809403,34
Marmato,2021-03-01,2021,3,112.89285714285714,112.89285714285714,7
Supia,2021-03-01,2021,3,113.18914835164838,113.18914835164838,14
Pensilvania,2021-03-01,2021,3,97.37836257309944,97.37836257309944,40
Riosucio,2021-03-01,2021,3,101.22552128583841,101.22552128583841,30
Pácora,2021-03-01,2021,3,105.9570546163849,105.9570546163849,21
Victoria,2021-03-01,2021,3,123.37250972180675,129.4848339814538,39
Aguadas,2021-03-01,2021,3,106.17494736842104,106.17494736842104,38
Samaná,2021-03-01,2021,3,117.41641544724395,117.41641544724395,56
Viterbo,2021-03-01,2021,3,117.02237136465327,117.02237136465327,11
La Merced,2021-03-01,2021,3,112.93688679245282,112.93688679245282,9
Palestina,2021-03-01,2021,3,116.84011931394481,116.84011931394481,12
Chinchiná,2021-03-01,2021,3,113.18915202444614,113.18915202444614,14
La Dorada,2021-03-01,2021,3,126.92848447961047,134.54981740718196,48
Belalcázar,2021-03-01,2021,3,115.17013274336283,115.17013274336283,14
San José,2021-03-01,2021,3,114.15006915629324,114.15006915629324,7
Marquetalia,2021-03-01,2021,3,111.61421933085505,111.61421933085505,11
Norcasia,2021-03-01,2021,3,125.47099264705886,128.69878676470594,24
Manizales,2021-03-01,2021,3,101.73544471837664,101.73544471837664,35
Villamaria,2021-04-01,2021,4,76.18035615935379,76.18035615935379,33
Risaralda,2021-04-01,2021,4,102.57661737523105,102.57661737523105,15
Neira,2021-04-01,2021,4,91.46093749999999,91.46093749999999,33
Anserma,2021-04-01,2021,4,101.84401760704286,101.84401760704286,21
Manzanares,2021-04-01,2021,4,92.01943388255181,92.01943388255181,18
Aranzazu,2021-04-01,2021,4,85.95865921787711,85.95865921787711,14
Marulanda,2021-04-01,2021,4,79.93228749443705,79.93228749443705,34
Filadelfia,2021-04-01,2021,4,102.29314236111111,102.29314236111111,15
Salamina,2021-04-01,2021,4,85.51683915480811,85.51683915480811,34
Marmato,2021-04-01,2021,4,102.17626728110599,102.17626728110599,7
Supia,2021-04-01,2021,4,102.26291208791211,102.26291208791211,14
Pensilvania,2021-04-01,2021,4,88.35839598997494,88.35839598997494,40
Riosucio,2021-04-01,2021,4,91.33394874022589,91.33394874022589,30
Pácora,2021-04-01,2021,4,95.17646293888164,95.17646293888164,21
Victoria,2021-04-01,2021,4,119.76114268620996,119.76114268620996,39
Aguadas,2021-04-01,2021,4,96.43684210526317,96.43684210526317,38
Samaná,2021-04-01,2021,4,106.04783804598969,106.04783804598969,56
Viterbo,2021-04-01,2021,4,105.62863534675616,105.62863534675616,11
La Merced,2021-04-01,2021,4,101.25990566037736,101.25990566037736,9
Palestina,2021-04-01,2021,4,103.27568978374347,103.27568978374347,12
Chinchiná,2021-04-01,2021,4,99.95660809778457,99.95660809778457,14
La Dorada,2021-04-01,2021,4,122.2725197808886,122.2725197808886,48
Belalcázar,2021-04-01,2021,4,103.5468289085546,103.5468289085546,14
San José,2021-04-01,2021,4,102.45228215767636,102.45228215767636,7
Marquetalia,2021-04-01,2021,4,99.60176579925653,99.60176579925653,11
Norcasia,2021-04-01,2021,4,118.17294117647063,118.17294117647063,24
Manizales,2021-04-01,2021,4,90.02630381187178,90.02630381187178,35
Villamaria,2021-05-01,2021,5,79.50033045713238,79.50033045713238,33
Risaralda,2021-05-01,2021,5,101.26839186691313,101.26839186691313,15
Neira,2021-05-01,2021,5,92.3032382246377,92.3032382246377,33
Anserma,2021-05-01,2021,5,101.00324129651865,101.00324129651865,21
Manzanares,2021-05-01,2021,5,92.48166455428816,92.48166455428816,18
Aranzazu,2021-05-01,2021,5,88.87307262569831,88.87307262569831,14
Marulanda,2021-05-01,2021,5,82.09132176234984,82.09132176234984,34
Filadelfia,2021-05-01,2021,5,101.65056423611112,101.65056423611112,15
Salamina,2021-05-01,2021,5,87.44956877964641,87.44956877964641,34
Marmato,2021-05-01,2021,5,101.69032258064517,101.69032258064517,7
Supia,2021-05-01,2021,5,101.34594780219778,101.34594780219778,14
Pensilvania,2021-05-01,2021,5,90.13004177109443,90.13004177109443,40
