municipio,anio,precip_mm_sum,precip_mm_mean,precip_mm_std,temp_mean_mean,temp_mean_std,ndvi_mean_mean,ndvi_mean_min,et_real_mm_sum,balance_hidrico_mm_mean,balance_hidrico_mm_min
Samaná,2025,4673.146439143051,389.4288699285876,180.24943641084369,21.310401069009725,0.6321136129710403,0.6847611916928007,0.3629360782468334,0.0,,
Samaná,2026,3910.3574484987266,325.8631207082272,103.94175533064713,21.532933808965883,0.7573659679043165,0.6804422685997231,0.5996657899070388,1211.0168747937068,224.94504780875164,66.85625021401766
Samaná,2027,3910.3574484987266,325.8631207082272,103.94175533064713,21.532933808965883,0.7573659679043165,0.6804422685997231,0.5996657899070388,1211.0168747937068,224.94504780875164,66.85625021401766
San José,2025,2539.9289793597313,211.6607482799776,111.29884742903876,18.069893376661643,0.20310181106222847,0.7011796902172338,0.6264724198247221,0.0,,
San José,2026,2266.889998604009,188.90749988366744,51.805855450624286,18.246872685370207,0.15772406846131942,0.7107404830410351,0.6800246921702895,1182.9936307053945,90.32469732488455,15.38371565743256
San José,2027,2266.889998604009,188.90749988366744,51.805855450624286,18.246872685370207,0.15772406846131942,0.7107404830410351,0.6800246921702895,1182.9936307053945,90.32469732488455,15.38371565743256
Supia,2025,2628.839664741021,219.06997206175174,121.9813985397797,18.26383919378972,0.28881984438849606,0.6710702266882307,0.4844964027171158,0.0,,
Supia,2026,2406.944233896057,200.57868615800476,58.14004703408046,18.43793979803653,0.1579902860004571,0.6920778558306592,0.6456258115324944,1166.9223248626377,103.33515908611831,11.344834083001658
Supia,2027,2164.135787258764,180.34464893823034,52.95661435702246,18.60951361670011,0.01547693325032679,0.6920778558306592,0.6456258115324944,1166.9223248626377,83.10112186634389,-0.6121968937501379
Victoria,2025,4142.160377496445,345.1800314580371,149.26335892873539,24.95455409092749,0.7895389858612771,0.7638044508608014,0.4624181200798768,0.0,,
Victoria,2026,3501.4474905824036,291.78729088186697,111.05666307175726,25.259983226220857,0.8300454115529099,0.7647303886334473,0.7253908566956982,1281.4368179778642,185.00088938371164,26.667426158734187
Victoria,2027,3501.4474905824036,291.78729088186697,111.05666307175726,25.259983226220857,0.8300454115529099,0.7647303886334473,0.7253908566956982,1281.4368179778642,185.00088938371164,26.667426158734187
Villamaria,2025,2364.645313971947,197.05377616432892,90.37547605225211,11.183168740027599,0.2661222023430513,0.585106108759023,0.428395957834689,0.0,,
Villamaria,2026,2107.6256702732735,175.6354725227728,54.09974616783445,11.225426985930023,0.04716108853177065,0.45541751658474044,0.3832569945758616,895.5223361483386,101.0086111770779,29.593402640738418
Villamaria,2027,2107.6256702732735,175.6354725227728,54.09974616783445,11.254617956649597,0.013768393129894045,0.45541751658474044,0.3832569945758616,895.5223361483386,101.0086111770779,29.593402640738418
Viterbo,2025,2737.1417952963448,228.09514960802872,111.85247588345273,18.852246597643514,0.1798817962636943,0.7319791469720988,0.6326886667416811,0.0,,
Viterbo,2026,2398.510458366883,199.8758715305736,53.38750039192202,18.988258642752957,0.14185192159969562,0.7378270633973858,0.703189872253259,1186.1825130499628,101.02732877641,26.700722001272638
Viterbo,2027,2398.510458366883,199.8758715305736,53.38750039192202,18.988258642752957,0.14185192159969562,0.7378270633973858,0.703189872253259,1186.1825130499628,101.02732877641,26.700722001272638
