sim,prima_total,indemnizacion_total,resultado_total,loss_ratio
285,415829749.1308689,260312236.51826075,155517512.61260816,0.6260067661400914
286,343972733.5665779,222876455.63289815,121096277.93367976,0.6479480315836114
287,441102474.3449355,288208634.5778132,152893839.76712227,0.653382493502946
288,386686874.1101776,290453929.33477354,96232944.77540404,0.7511347004036536
289,406442185.3802791,290137603.26627094,116304582.11400819,0.7138471686810998
290,380621096.9320311,341608861.4148579,39012235.51717317,0.8975037489208336
291,385554913.1234268,269466639.4575675,116088273.66585928,0.6989059931167413
292,395803183.14668113,274092591.5896293,121710591.55705184,0.6924971886546274
293,397985881.9273655,358306319.42341536,39679562.50395012,0.9002990701283423
294,428612797.1634189,421179784.5051796,7433012.658239305,0.9826579777658732
295,364618773.82525903,297423065.9803186,67195707.84494042,0.8157096872989226
296,421608113.9493405,304086294.5762216,117521819.37311894,0.7212534211634264
297,394207859.6743219,292714844.980414,101493014.69390792,0.7425393426255955
298,371222699.31372106,279609859.57683825,91612839.7368828,0.7532132601097742
299,352946624.06894034,281918690.4308733,71027933.63806707,0.798757294178869
300,452321979.42514724,437910423.2194189,14411556.205728352,0.9681387222791077
301,453951872.3652398,480903667.9656486,-26951795.600408792,1.0593714823996232
302,391005417.7136543,309317514.27686596,81687903.43678832,0.7910824256235474
303,395690799.39791834,321150745.00468,74540054.39323837,0.8116204508503654
304,443201982.39914995,360947003.2797104,82254979.11943954,0.8144074657018111
305,404208652.1846812,308979775.5484693,95228876.63621187,0.7644066347379862
306,397573338.0360475,198334815.52663082,199238522.5094167,0.49886347134436876
307,440188603.7304817,355863650.3877571,84324953.34272456,0.8084344923333022
308,419692161.87222713,351383703.5504127,68308458.32181442,0.8372415200296008
309,334659440.0786531,319827664.75004077,14831775.328612328,0.9556809892315409
310,384012614.52300525,359918039.5095141,24094575.013491154,0.9372557720703529
311,341216371.5716236,291077613.0851781,50138758.486445546,0.8530587549023243
312,375309776.9201436,238058554.67299718,137251222.24714643,0.6342988360882749
313,403799189.0192633,280055459.7905846,123743729.2286787,0.6935513180964425
314,416458979.1251555,347195529.13210166,69263449.99305385,0.8336848201987294
315,380113594.67067677,292551150.91171384,87562443.75896293,0.7696413782968605
316,437680823.3791151,423044173.4355046,14636649.94361049,0.9665586218043363
317,356585362.04298544,237010233.9702798,119575128.07270563,0.6646661899197893
318,385231245.8722274,309124533.02148557,76106712.8507418,0.8024388891964783
319,425457039.89319485,383362746.8268793,42094293.06631553,0.9010610023590567
320,409794162.70115584,278398061.52886456,131396101.17229128,0.6793607300157849
321,429730126.06470394,426061362.22141737,3668763.843286574,0.9914626328926863
322,399362505.743826,271483596.94974625,127878908.79407972,0.6797924017531366
323,452891417.73775935,337071991.3396338,115819426.39812553,0.7442666788064657
324,376389681.1775979,322205740.300523,54183940.8770749,0.8560429693302127
325,439248422.49013406,263738622.77482158,175509799.71531248,0.60043157646342
326,470237941.914398,274967744.3810233,195270197.53337473,0.5847417230128111
327,390997567.48751086,250509194.42799595,140488373.0595149,0.6406924627120542
328,370632982.92206204,273562223.50132066,97070759.42074138,0.7380946545678755
329,427743549.9459675,313976471.68822795,113767078.25773954,0.7340297047796265
