municipio,date,et_real_mm,ndvi_mean,precip_mm,temp_mean,anio,mes,tipo_dato
Marmato,2027-03-01,108.94496543778803,0.6650701253675725,186.65167395742543,19.39217650593703,2027,3,pronosticado
Marmato,2027-04-01,104.22496543778803,0.6321009366800019,250.24111615430238,19.223872214019636,2027,4,pronosticado
Marmato,2027-05-01,98.53500000000001,0.6751374247184788,259.73760130245216,19.165083622383104,2027,5,pronosticado
Marmato,2027-06-01,93.39390552995393,0.7063392552727025,159.21971720096457,18.982682635796785,2027,6,pronosticado
Marmato,2027-07-01,97.02218894009218,0.7245659090607943,122.83623597006734,19.171726537764066,2027,7,pronosticado
Marmato,2027-08-01,104.43073732718895,0.6905168031779395,173.3800530971955,19.299083382938097,2027,8,pronosticado
Marmato,2027-09-01,105.44407834101385,0.6791249615731174,188.7110302802409,19.264872868855814,2027,9,pronosticado
Marmato,2027-10-01,98.23368663594471,0.6484505264761472,304.9142703220137,18.7644349476648,2027,10,pronosticado
Marmato,2027-11-01,92.21050691244241,0.6329237589150557,253.87766711391455,18.659166906245826,2027,11,pronosticado
Marmato,2027-12-01,92.69994239631338,0.6833121311354569,172.29618179493758,18.979397612501913,2027,12,pronosticado
Marquetalia,2026-01-01,94.09660315985133,0.6758550371751053,263.9081059296947,18.550270668729155,2026,1,pronosticado
Marquetalia,2026-02-01,95.72825743494425,0.6102263733315676,322.40614596183383,18.714499014826163,2026,2,pronosticado
Marquetalia,2026-03-01,110.04389869888477,0.6596125983434377,349.44601672363723,18.818735141118957,2026,3,pronosticado
Marquetalia,2026-04-01,97.73842936802977,0.6608278791638705,366.60134277498975,19.022406415536903,2026,4,pronosticado
Marquetalia,2026-05-01,96.42860130111526,0.7400834113450644,356.5378714963473,19.050491873881708,2026,5,pronosticado
Marquetalia,2026-06-01,93.66017657992566,0.803535322612114,231.913338922742,18.984814330145547,2026,6,pronosticado
Marquetalia,2026-07-01,96.09703066914501,0.8124651837460204,109.3695474671789,18.930018265885813,2026,7,pronosticado
Marquetalia,2026-08-01,100.68350836431229,0.7847716359283226,231.6429979593856,19.18740170722189,2026,8,pronosticado
Marquetalia,2026-09-01,104.33786710037177,0.7518030748325538,249.97473115093098,19.2678771011339,2026,9,pronosticado
Marquetalia,2026-10-01,95.92601765799259,0.6715841684834305,417.33566582963084,18.941520801313448,2026,10,pronosticado
Marquetalia,2026-11-01,90.71092936802975,0.6332484155610003,454.14255440895266,18.779839306916006,2026,11,pronosticado
Marquetalia,2026-12-01,95.26290892193312,0.6735681413241255,381.75410663986844,18.93984830231663,2026,12,pronosticado
Marquetalia,2027-01-01,94.09660315985133,0.6758550371751053,263.9081059296947,19.023572486511014,2027,1,pronosticado
Marquetalia,2027-02-01,95.72825743494425,0.6102263733315676,322.40614596183383,18.976103162381854,2027,2,pronosticado
Marquetalia,2027-03-01,110.04389869888477,0.6596125983434377,349.44601672363723,18.939942016604547,2027,3,pronosticado
Marquetalia,2027-04-01,97.73842936802977,0.6608278791638705,366.60134277498975,19.02297782393098,2027,4,pronosticado
Marquetalia,2027-05-01,96.42860130111526,0.7400834113450644,356.5378714963473,19.050670132711943,2027,5,pronosticado
Marquetalia,2027-06-01,93.66017657992566,0.803535322612114,231.913338922742,18.937696104494037,2027,6,pronosticado
Marquetalia,2027-07-01,96.09703066914501,0.8124651837460204,109.3695474671789,18.94476110237498,2027,7,pronosticado
Marquetalia,2027-08-01,100.68350836431229,0.7847716359283226,231.6429979593856,19.19959452480495,2027,8,pronosticado
Marquetalia,2027-09-01,104.33786710037177,0.7518030748325538,249.97473115093098,19.246690203495483,2027,9,pronosticado
Marquetalia,2027-10-01,95.92601765799259,0.6715841684834305,417.33566582963084,18.867556150997338,2027,10,pronosticado
Marquetalia,2027-11-01,90.71092936802975,0.6332484155610003,454.14255440895266,18.85815933867307,2027,11,pronosticado
Marquetalia,2027-12-01,95.26290892193312,0.6735681413241255,381.75410663986844,19.003129560113265,2027,12,pronosticado
Marulanda,2026-01-01,76.1868891855808,0.6612251372501452,117.62516987842112,13.10387587920776,2026,1,pronosticado
Marulanda,2026-02-01,73.6352314196707,0.550909479034973,142.1984525635527,13.33547380347768,2026,2,pronosticado
Marulanda,2026-03-01,87.51045060080111,0.5069500150274537,194.61523731030584,13.320697631224862,2026,3,pronosticado
Marulanda,2026-04-01,79.92390965732089,0.5107740591942895,232.16720522104265,13.262289206810728,2026,4,pronosticado
Marulanda,2026-05-01,79.26106030262575,0.6137529162669798,228.95737222204298,13.262127498788114,2026,5,pronosticado
Marulanda,2026-06-01,76.24051735647532,0.6331676742701547,156.12666436976093,13.065884444340048,2026,6,pronosticado
Marulanda,2026-07-01,76.12862928348912,0.6366217210180727,100.22387496405612,13.082563921696817,2026,7,pronosticado
Marulanda,2026-08-01,81.8235436137072,0.6202416652845104,136.87653992526197,13.255077153509884,2026,8,pronosticado
Marulanda,2026-09-01,85.91842567868272,0.5917680802204889,148.1185935161139,13.289604552951252,2026,9,pronosticado
Marulanda,2026-10-01,79.21121940364934,0.5213771377269248,293.1335799405431,12.93258941333751,2026,10,pronosticado
Marulanda,2026-11-01,73.72672674677351,0.5333574538254228,239.25593875236478,12.872780026383674,2026,11,pronosticado
Marulanda,2026-12-01,76.3179428126391,0.6455774511317879,154.32410730562356,12.964668110121847,2026,12,pronosticado
Marulanda,2027-01-01,76.1868891855808,0.6612251372501452,117.62516987842112,13.10387587920776,2027,1,pronosticado
Marulanda,2027-02-01,73.6352314196707,0.550909479034973,142.1984525635527,13.33547380347768,2027,2,pronosticado
Marulanda,2027-03-01,87.51045060080111,0.5069500150274537,194.61523731030584,13.320697631224862,2027,3,pronosticado
Marulanda,2027-04-01,79.92390965732089,0.5107740591942895,232.16720522104265,13.262289206810728,2027,4,pronosticado
Marulanda,2027-05-01,79.26106030262575,0.6137529162669798,228.95737222204298,13.262127498788114,2027,5,pronosticado
Marulanda,2027-06-01,76.24051735647532,0.6331676742701547,156.12666436976093,13.065884444340048,2027,6,pronosticado
Marulanda,2027-07-01,76.12862928348912,0.6366217210180727,100.22387496405612,13.082563921696817,2027,7,pronosticado
Marulanda,2027-08-01,81.8235436137072,0.6202416652845104,136.87653992526197,13.255077153509884,2027,8,pronosticado
Marulanda,2027-09-01,85.91842567868272,0.5917680802204889,148.1185935161139,13.289604552951252,2027,9,pronosticado
Marulanda,2027-10-01,79.21121940364934,0.5213771377269248,293.1335799405431,12.93258941333751,2027,10,pronosticado
Marulanda,2027-11-01,73.72672674677351,0.5333574538254228,239.25593875236478,12.872780026383674,2027,11,pronosticado
Marulanda,2027-12-01,76.3179428126391,0.6455774511317879,154.32410730562356,12.964668110121847,2027,12,pronosticado
Neira,2026-01-01,87.57997395833334,0.6939838745865705,109.34532625756182,15.953219068713997,2026,1,pronosticado
Neira,2026-02-01,83.81629189311596,0.6430028533649201,129.00140671646463,15.953570508830047,2026,2,pronosticado
Neira,2026-03-01,101.61128170289855,0.6119279391480617,184.55513209642572,16.081179659888917,2026,3,pronosticado
Neira,2026-04-01,92.32769587862319,0.6117831427151514,237.99448416387207,16.07967952155886,2026,4,pronosticado
Neira,2026-05-01,88.74277966485508,0.6581497212226359,229.42121191749607,16.009438240386096,2026,5,pronosticado
Neira,2026-06-01,83.85479732789855,0.6785065400390669,144.8382077858201,16.01894142359833,2026,6,pronosticado
Neira,2026-07-01,85.068115942029,0.6757182053439128,99.73898810725656,16.055461490776384,2026,7,pronosticado
Neira,2026-08-01,93.31459239130436,0.6651278849877025,122.72641485235603,16.06655511431957,2026,8,pronosticado
Neira,2026-09-01,96.18771399456523,0.6341492069914738,131.28668895226224,16.0420331713506,2026,9,pronosticado
Neira,2026-10-01,88.9852785326087,0.5892437430531084,286.7414267010114,16.05787002229765,2026,10,pronosticado
Neira,2026-11-01,83.89465126811595,0.5973067425580919,252.8128689485779,16.07244682934007,2026,11,pronosticado
Neira,2026-12-01,85.01717164855073,0.6633552675611305,153.120291064618,16.042749097052436,2026,12,pronosticado
Neira,2027-01-01,87.57997395833334,0.6939838745865705,109.34532625756182,16.061110794188295,2027,1,pronosticado
Neira,2027-02-01,83.81629189311596,0.6430028533649201,129.00140671646463,16.07335308779806,2027,2,pronosticado
Neira,2027-03-01,101.61128170289855,0.6119279391480617,184.55513209642572,16.057097462382227,2027,3,pronosticado
Neira,2027-04-01,92.32769587862319,0.6117831427151514,237.99448416387207,16.0655825483427,2027,4,pronosticado
Neira,2027-05-01,88.74277966485508,0.6581497212226359,229.42121191749607,16.069324063585054,2027,5,pronosticado
Neira,2027-06-01,83.85479732789855,0.6785065400390669,144.8382077858201,16.071932505396997,2027,6,pronosticado
Neira,2027-07-01,85.068115942029,0.6757182053439128,99.73898810725656,16.062371675671358,2027,7,pronosticado
Neira,2027-08-01,93.31459239130436,0.6651278849877025,122.72641485235603,16.0599863891006,2027,8,pronosticado
Neira,2027-09-01,96.18771399456523,0.6341492069914738,131.28668895226224,16.06753137131364,2027,9,pronosticado
Neira,2027-10-01,88.9852785326087,0.5892437430531084,286.7414267010114,16.06705350142654,2027,10,pronosticado
Neira,2027-11-01,83.89465126811595,0.5973067425580919,252.8128689485779,16.06705350142654,2027,11,pronosticado
Neira,2027-12-01,85.01717164855073,0.6633552675611305,153.120291064618,16.071523754819673,2027,12,pronosticado
Norcasia,2026-01-01,93.86309191176473,0.7243205887295525,212.08815948466608,24.418633354939125,2026,1,pronosticado
