Municipio,Año,PRECTOTCORR_total_anual,PRECTOTCORR_prom_diario_anual,PRECTOTCORR_max_mes,PRECTOTCORR_min_mes,PRECTOTCORR_std_mes,T2M_prom_anual,T2M_max_mes,T2M_min_mes,T2M_std_mes,RH2M_prom_anual,RH2M_max_mes,RH2M_min_mes,RH2M_std_mes,GWETROOT_prom_anual,GWETROOT_max_mes,GWETROOT_min_mes,GWETROOT_std_mes,ALLSKY_SFC_LW_DWN_prom_anual,ALLSKY_SFC_LW_DWN_max_mes,ALLSKY_SFC_LW_DWN_min_mes,ALLSKY_SFC_LW_DWN_std_mes,PS_prom_anual,PS_max_mes,PS_min_mes,PS_std_mes,WS2M_prom_anual,WS2M_max_mes,WS2M_min_mes,WS2M_std_mes,NDVI_prom_anual,NDVI_max_anual,NDVI_min_anual,NDVI_std_anual,NDVI_min_prom_anual,NDVI_max_prom_anual,NDVI_std_prom_anual,n_observaciones_16d_anual,meses_disponibles,T2M_rango_anual,NDVI_rango_anual,GWETROOT_rango_anual,PRECTOTCORR_rango_mes,estres_termico_hidrico,exceso_humedad_proxy,NDVI_ajustado_temp
Aguadas,2021,1126.3600000000001,3.095,136.5,33.17,30.067363258745075,18.313333333333333,19.02,17.6,0.44969349831217453,83.28750000000001,88.95,76.77,3.957807301570359,0.6583333333333333,0.75,0.58,0.050241839379569116,31.83583333333333,32.38,31.56,0.25910539566093044,81.66583333333334,81.76,81.56,0.07366488411390658,0.2141666666666667,0.27,0.18,0.029063670960444227,0.453575,0.7880499999999999,0.27785,0.15891264252584011,0.28554166666666664,0.6216083333333333,0.25923820246991897,23,12,1.4199999999999982,0.5102,0.17000000000000004,103.33,27.81772151898734,741.5203333333334,0.024767473607571897
Aguadas,2022,2723.89,7.47,317.7,113.46000000000001,66.39530876888179,17.550833333333333,18.05,17.11,0.2952797851447869,89.2075,91.94,86.94,1.5494581164218217,0.9175,0.99,0.72,0.09401402216497481,31.735833333333332,32.15,31.34,0.2582267619865553,81.66583333333334,81.73,81.59,0.05299371031862095,0.21083333333333334,0.25,0.19,0.01928651593652147,0.36537916666666664,0.72685,0.1026,0.20247662318303822,0.24050000000000002,0.4902583333333333,0.19266088489947283,23,12,0.9400000000000013,0.62425,0.27,204.23999999999998,19.12897366030881,2499.169075,0.020818337210958642
Aguadas,2023,2048.06,5.585,285.2,74.75999999999999,58.33998813122537,18.084166666666665,18.96,16.65,0.6145280278145955,87.69333333333333,89.78,83.53,2.1097795375274835,0.8658333333333333,0.97,0.71,0.08295215853768126,31.58583333333333,32.05,31.02,0.32261596458647274,81.68166666666667,81.75,81.62,0.04569331228833028,0.2225,0.26,0.2,0.02050498830661811,0.6647041666666667,0.79045,0.3919,0.11082168818408107,0.5768916666666667,0.7525166666666667,0.1354752310318771,23,12,2.3100000000000023,0.39854999999999996,0.26,210.44,20.886429258902787,1773.2786166666667,0.03675614027003364
Aguadas,2024,2238.15,6.12,385.64,29.139999999999997,100.4707355063245,18.743333333333336,20.36,17.61,0.765189618013177,87.02333333333333,91.74,80.43,3.738532364768854,0.8191666666666667,0.98,0.63,0.11618624025349311,31.951666666666668,32.77,31.16,0.4875883758278342,81.70583333333333,81.79,81.63,0.043161079549507896,0.2125,0.27,0.16,0.03222788177396031,0.6074208333333333,0.7980499999999999,0.37295,0.1445763992093223,0.52745,0.6873916666666666,0.1233772768301218,23,12,2.75,0.4250999999999999,0.35,356.5,22.88097660223805,1833.417875,0.03240730037346611
Aguadas,2025,2589.27,7.1308333333333325,382.5,92.07000000000001,96.85892516485464,17.970833333333335,18.43,17.48,0.2987385093517351,89.26416666666667,91.26,86.15,1.756543394559242,0.9133333333333334,0.99,0.78,0.06958752935996682,31.754545454545454,32.43,31.18,0.36272203231575684,81.68833333333333,81.77,81.59,0.060126130053009506,0.19833333333333333,0.23,0.15,0.031574826950748244,0.5043458333333334,0.79235,0.0942,0.24455101573954344,0.43156666666666665,0.577125,0.1122821286089584,23,12,0.9499999999999993,0.69815,0.20999999999999996,290.43,19.67609489051095,2364.8666000000003,0.028064688152098307
Anserma,2000,3511.41,10.501818181818182,499.1,140.43,94.5980789926038,15.533636363636363,16.01,14.95,0.32616783186797454,88.05181818181819,89.22,85.27,1.0947951240466691,0.9663636363636363,0.99,0.9,0.02693426341028367,31.933636363636364,32.52,31.38,0.35547919003150547,78.89272727272727,78.96,78.81,0.05001817851359777,0.27,0.32,0.22,0.03162277660168378,0.7456863636363636,0.8833,0.53335,0.12647166499044182,0.6699090909090909,0.8214636363636363,0.13097974610178814,20,11,1.0600000000000023,0.34995,0.08999999999999997,358.67,16.074317968015052,3393.298936363636,0.048004623397904844
Anserma,2001,2414.32,6.605833333333333,310.5,112.0,56.466850988930304,15.741666666666667,16.38,15.26,0.38235712324601673,86.3925,89.72,82.4,2.003152628869162,0.8808333333333334,0.96,0.82,0.039186809778368796,32.04333333333333,32.46,31.45,0.32971980758691516,78.90583333333333,79.0,78.79,0.0658453192004265,0.2916666666666667,0.35,0.24,0.034067668846078404,0.8036875,0.8499,0.7294,0.03988351861130337,0.7636333333333334,0.8437416666666667,0.06179470443223887,23,12,1.1199999999999992,0.12049999999999994,0.14,198.5,17.871333964049196,2126.6135333333336,0.05105479089465326
Anserma,2002,2353.9,6.43,360.59999999999997,63.0,75.81250062829447,15.949166666666665,16.66,15.47,0.396632606126155,86.30083333333334,88.64,83.39,1.7225058824722494,0.8891666666666667,0.96,0.82,0.05035480176314928,32.0225,32.55,31.62,0.3138072656902644,78.91666666666667,79.03,78.85,0.055486826173320965,0.29083333333333333,0.34,0.26,0.02353269807709857,0.7555416666666667,0.85795,0.4088,0.12222466057025953,0.6909333333333333,0.8201499999999999,0.0996763431734418,23,12,1.1899999999999995,0.44915,0.14,297.59999999999997,17.937207122774133,2093.0094166666668,0.047371858508804016
Anserma,2003,2055.76,5.633333333333333,292.64,53.01,57.34443514783489,16.07166666666667,16.87,15.47,0.4768806470335659,87.0,90.78,83.69,1.999413550382857,0.8624999999999999,0.93,0.78,0.04454313537562111,32.030833333333334,32.45,31.71,0.2650371614881493,78.91250000000001,79.01,78.84,0.05754444922287614,0.28833333333333333,0.33,0.24,0.025166114784235822,0.7856208333333333,0.8758,0.5693,0.08104931567860212,0.7224416666666666,0.8488000000000001,0.09747145566483288,23,12,1.4000000000000004,0.3065,0.15000000000000002,239.63,18.633816425120777,1773.093,0.04888234989111272
Anserma,2004,1634.23,4.4624999999999995,267.84000000000003,67.2,61.61995005432064,15.945833333333333,17.07,15.19,0.5211605638700358,86.02333333333333,90.09,81.91,2.580078692715799,0.7875,0.9,0.65,0.07325236577004933,31.9475,32.41,31.4,0.3197193371465875,78.91916666666667,79.0,78.83,0.05712161401675041,0.2891666666666667,0.33,0.23,0.02937479851639476,0.7385333333333333,0.8934,0.2277,0.17772905621828528,0.6858083333333332,0.7912583333333334,0.08134299281031425,23,12,1.8800000000000008,0.6657,0.25,200.64000000000004,20.24867724867725,1286.956125,0.04631512934413378
