municipio,date,anio,mes,temp_mean,temp_min,temp_max,n_pixeles
Marquetalia,2005-02-28,2005,2,18.78635068345726,13.444944347034824,24.88269403631039,2.0
Marquetalia,2005-03-31,2005,3,19.40690119467719,12.974963471383782,26.168803729433023,2.0
Marquetalia,2005-04-30,2005,4,19.2810653596615,14.302539617365078,26.211354481090225,2.0
Marquetalia,2005-05-31,2005,5,18.49183594202446,12.547078820430894,24.174701482599456,2.0
Marquetalia,2005-06-30,2005,6,19.255387114194132,14.329499123313232,25.03355953332152,2.0
Marquetalia,2005-07-31,2005,7,19.296765736828203,13.554831672437286,26.04273584539242,2.0
Marquetalia,2005-08-31,2005,8,19.543359912587693,13.57914216012668,26.65245139382105,2.0
Marquetalia,2005-09-30,2005,9,19.81368857875017,13.79375055486508,27.201431181936577,2.0
Marquetalia,2005-10-31,2005,10,18.139066792000563,13.047012236624075,24.60188654119321,2.0
Marquetalia,2005-11-30,2005,11,17.689440948152402,12.461499670780093,23.69333362001364,2.0
Marquetalia,2005-12-31,2005,12,17.543803363997704,12.86676755962952,23.019546878699124,2.0
Marquetalia,2006-01-31,2006,1,17.81790071961625,11.823690148555894,24.3068610913826,2.0
Marquetalia,2006-02-28,2006,2,18.46406578267638,13.59720671682649,25.23821226177796,2.0
Marquetalia,2006-03-31,2006,3,18.431447522389323,12.806489331794529,25.24545694986981,2.0
Marquetalia,2006-04-30,2006,4,18.064821189340943,12.564207042347324,24.443533602627863,2.0
Marquetalia,2006-05-31,2006,5,18.49192824116669,13.1546736283736,24.045653279622417,2.0
Marquetalia,2006-06-30,2006,6,18.662102538728572,13.740308264530087,25.19097058845292,2.0
Marquetalia,2006-07-31,2006,7,19.031307069561567,13.220688236121,26.028322531960253,2.0
Marquetalia,2006-08-31,2006,8,19.723701407568377,13.886479140772988,27.03951693448156,2.0
Marquetalia,2006-09-30,2006,9,19.990932576985493,14.307596287582884,27.7307946407434,2.0
Marquetalia,2006-10-31,2006,10,18.83909936459302,11.417229762221847,27.61075929583928,2.0
Marquetalia,2006-11-30,2006,11,17.953714144029224,12.957493313876087,23.734849317146093,2.0
Marquetalia,2006-12-31,2006,12,18.162086747344464,12.953579896869105,24.839196314956222,2.0
Marquetalia,2007-01-31,2007,1,18.90876557607146,13.58935445149742,25.09227396647137,2.0
Marquetalia,2007-02-28,2007,2,18.985908413759066,12.478580729166689,26.193756011038136,2.0
Marquetalia,2007-03-31,2007,3,18.98423358287049,13.769293259129402,26.80700535629737,2.0
Marquetalia,2007-04-30,2007,4,18.83478428940181,13.010689845229662,25.399972996567257,2.0
Marquetalia,2007-05-31,2007,5,18.863494249818093,14.53080231637668,24.974490448922847,2.0
