Municipio,Año,NDVI,ALLSKY_SFC_LW_DWN,GWETROOT,PRECTOTCORR,PS,RH2M,T2M,WS2M,Código Dane municipio,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
Chinchina,2012,0.4593083333333334,31.27083333333333,0.9133333333333332,2560.38,78.89999999999999,87.56583333333333,15.755,0.2891666666666666,17174,4906.0,4022.0,4022.0,1.0
Chinchina,2013,0.4995541666666667,31.449166666666667,0.9308333333333332,2728.97,78.90666666666667,88.12333333333333,16.006666666666668,0.2825,17174,4602.0,3235.0,3154.0,0.97
Chinchina,2014,0.4060833333333333,31.411666666666665,0.8958333333333334,2404.87,78.91166666666666,87.52833333333332,16.063333333333333,0.2858333333333333,17174,4394.0,3079.0,3246.0,1.05
Chinchina,2015,0.3982666666666667,31.42,0.775,1332.92,78.91666666666667,85.04583333333333,16.340833333333332,0.2841666666666667,17174,4283.0,3113.0,4113.0,1.32
Chinchina,2016,0.4272041666666666,31.493333333333336,0.7200000000000001,1728.86,78.95833333333333,85.72666666666667,16.599166666666665,0.2733333333333334,17174,4132.0,2944.0,4022.0,1.37
Chinchina,2017,0.4517541666666667,31.34166666666667,0.8741666666666666,2211.96,78.94083333333333,87.38333333333333,16.140833333333333,0.2875,17174,4218.0,2581.0,3321.0,1.29
Chinchina,2018,0.3902916666666667,31.328333333333333,0.8775,1983.61,78.91916666666667,87.29166666666667,15.970833333333331,0.285,17174,4252.0,2582.0,3397.0,1.32
Chinchina,2019,0.4068208333333333,31.379166666666663,0.8383333333333334,1998.93,78.93833333333333,86.88416666666667,16.418333333333333,0.2766666666666666,17174,3989.0,2696.0,3626.0,1.34
Chinchina,2020,0.4404791666666667,31.3225,0.7908333333333334,1584.91,78.94500000000001,86.1475,16.459166666666665,0.2966666666666667,17174,3941.0,2899.0,3605.0,1.24
Chinchina,2021,0.3702583333333333,31.42333333333333,0.7158333333333333,1228.52,78.92,84.85666666666667,16.411666666666665,0.2891666666666666,17174,3769.41,2571.07,2802.47,1.09
Chinchina,2022,0.3515375,31.01333333333333,0.89,2527.64,78.91666666666667,88.09166666666665,15.955833333333333,0.2791666666666667,17174,3801.83,2487.43,2539.68,1.02
Chinchina,2023,0.4267625,30.894166666666667,0.8483333333333333,1918.92,78.94,86.70083333333334,16.44666666666667,0.2908333333333333,17174,3764.33,2332.1,2219.1,0.95
Chinchina,2024,0.4265874999999999,31.203333333333333,0.8108333333333334,2077.82,78.97,86.6275,16.99416666666667,0.2783333333333333,17174,3666.96,2351.82,2765.36,1.18
Filadelfia,2007,0.7170208333333333,31.97833333333333,0.7399999999999999,1361.99,81.66083333333333,86.08999999999999,17.62333333333333,0.2325,17272,2787.0,2604.0,3162.0,1.21
Filadelfia,2008,0.6920125,31.9375,0.6558333333333334,1236.36,81.65083333333332,82.53,17.843333333333334,0.215,17272,2735.0,2132.0,2959.0,1.39
Filadelfia,2009,0.7193291666666667,31.988333333333333,0.915,2151.51,81.63583333333334,88.12,17.746666666666666,0.2141666666666667,17272,2687.0,24.0,3120.0,1.3
Filadelfia,2010,0.6166874999999999,32.0175,0.8908333333333333,2778.63,81.65833333333333,88.43416666666667,17.826666666666664,0.2183333333333333,17272,2585.0,2265.0,5098.0,2.25
Filadelfia,2011,0.6582916666666666,31.83083333333333,0.96,2921.37,81.63833333333334,89.3675,17.225833333333334,0.2241666666666666,17272,2524.0,2343.0,2025.0,0.86
Filadelfia,2012,0.7398875,31.824166666666667,0.95,2925.64,81.64916666666666,88.72166666666668,17.435,0.21,17272,2524.0,2343.0,2343.0,1.0
Filadelfia,2013,0.7720041666666666,31.945000000000004,0.96,2976.77,81.65333333333334,89.20833333333333,17.649166666666666,0.2066666666666666,17272,2771.0,2182.0,2127.0,0.97
Filadelfia,2014,0.7304291666666667,31.9275,0.9275,2677.38,81.65916666666666,88.61416666666666,17.731666666666666,0.2091666666666667,17272,2586.0,2125.0,2240.0,1.05
Filadelfia,2015,0.7303833333333333,31.936666666666667,0.7816666666666667,1465.53,81.65666666666667,85.45666666666666,18.1325,0.2091666666666666,17272,2388.0,1989.0,2225.0,1.12
Filadelfia,2016,0.6845041666666667,32.016666666666666,0.7541666666666668,1906.77,81.69916666666667,85.98833333333333,18.38416666666667,0.205,17272,2265.0,1849.0,2139.0,1.16
