municipio,date,anio,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Chinchiná,2017-12-31,2017,0.7455031473447158,0.7870183291666762,-0.1984,0.9984,0.13603765647312385,1945.375
Chinchiná,2018-12-31,2018,0.7431951422587101,0.7823801710778572,-0.1709,0.9993,0.13405221399252404,1945.3333333333333
Chinchiná,2019-12-31,2019,0.7172858581959033,0.7601313598262,0.0391,0.9989,0.1501829813211563,1945.375
Chinchiná,2020-12-31,2020,0.7482516590494944,0.7846129857827077,-0.0279,0.9992,0.13430490104184112,1945.8333333333333
Chinchiná,2021-12-31,2021,0.7271394385434972,0.7757019651742737,-0.0108,0.9995,0.15051306041332074,1945.3333333333333
Chinchiná,2022-12-31,2022,0.7088672780589859,0.7611126382687002,-0.1199,0.9991,0.1624358827386179,1943.5833333333333
Chinchiná,2023-12-31,2023,0.7658700901469638,0.7894885426076925,0.0041,0.9992,0.10160619967765921,1945.4166666666667
Chinchiná,2024-12-31,2024,0.7501952164215159,0.7809236668239327,0.0331,0.9994,0.12042175830018555,1945.2916666666667
Chinchiná,2025-12-31,2025,0.747110681331459,0.7774378850549563,0.0258,0.9992,0.12397815721510515,1945.2916666666667
Filadelfia,2005-12-31,2005,0.7206970972380886,0.7518052911154119,0.0235,0.9978,0.12731439784965312,3246.75
Filadelfia,2006-12-31,2006,0.7266425680908825,0.753194724835835,0.0332,0.9994,0.11889773208931943,3246.75
Filadelfia,2007-12-31,2007,0.7311007235289488,0.7626054254230364,0.0071,0.9995,0.1266691994023216,3246.625
Filadelfia,2008-12-31,2008,0.7147026302135736,0.7591210987107417,0.0284,0.9971,0.14504574183639726,3247.0833333333335
Filadelfia,2009-12-31,2009,0.7357199355878246,0.7627726109861114,0.0327,0.999,0.1146770465382811,3246.75
Filadelfia,2010-12-31,2010,0.6783218189949682,0.7051423168690735,0.023,0.9995,0.14420214710680934,3246.75
Filadelfia,2011-12-31,2011,0.7171216577395122,0.7557006147209049,0.0093,0.9995,0.13753246933489716,3246.7083333333335
Filadelfia,2012-12-31,2012,0.7328865170396265,0.7680273356329167,0.015,0.9992,0.1215366077899433,3247.125
Filadelfia,2013-12-31,2013,0.7469960137534183,0.7800459565060928,-0.0485,0.9992,0.11780964378588649,3246.75
Filadelfia,2014-12-31,2014,0.7412838885776348,0.7687121519538666,0.0562,0.9993,0.1148099697506204,3246.6666666666665
Filadelfia,2015-12-31,2015,0.715498631824195,0.7311641779903139,0.0483,0.9961,0.10274848281874695,3246.7083333333335
Filadelfia,2016-12-31,2016,0.7174434160930243,0.746546629795492,0.0442,0.9976,0.11577426087285318,3247.0833333333335
Filadelfia,2017-12-31,2017,0.7450376483601066,0.7809195891526778,0.0379,0.9983,0.13002195268888664,3246.75
Filadelfia,2018-12-31,2018,0.7458562788708526,0.7836832145474711,0.0548,0.9995,0.12993997283641923,3246.7083333333335
Filadelfia,2019-12-31,2019,0.7334170926611564,0.7716466922895856,0.0382,0.999,0.12617282668518778,3246.75
Filadelfia,2020-12-31,2020,0.7488134538847918,0.7793342915873969,0.0434,0.9996,0.11879347734496425,3247.4166666666665
Filadelfia,2021-12-31,2021,0.7344536162664479,0.78447591598036,0.0195,0.9979,0.14827224240609424,3246.625
Filadelfia,2022-12-31,2022,0.7255180265892286,0.7724862594058308,0.0219,0.9993,0.15521472458794952,3246.25
Filadelfia,2023-12-31,2023,0.7692889233180679,0.788185396998936,0.0471,0.9984,0.08414410807354805,3246.7083333333335
Filadelfia,2024-12-31,2024,0.7423144077485818,0.7697386160737665,0.0398,0.9965,0.10920975031618896,3246.625
Filadelfia,2025-12-31,2025,0.729324605251643,0.7611826035128876,0.0157,0.9992,0.1262081211388381,3246.625
La Dorada,2005-12-31,2005,0.7136309112069128,0.7303900540874122,-0.1986,0.9993,0.11684452700054959,9278.75
La Dorada,2006-12-31,2006,0.6970912789058855,0.7157053244712911,-0.1756,0.9993,0.12699136009318854,9278.708333333334
La Dorada,2007-12-31,2007,0.7137474908127409,0.7354725920881872,-0.1325,0.9992,0.12132389132666765,9278.833333333334
La Dorada,2008-12-31,2008,0.7046383782100326,0.7231446480915434,-0.1401,0.9988,0.1165019959059521,9278.125
La Dorada,2009-12-31,2009,0.7163422072448996,0.7354587138662501,-0.1429,0.9987,0.11929394371404854,9278.708333333334
La Dorada,2010-12-31,2010,0.7137213079423271,0.7330716506940557,-0.168,0.9994,0.12021415833884656,9278.666666666666
La Dorada,2011-12-31,2011,0.6996789728797846,0.7197527560582456,-0.18,0.9993,0.12958348138440834,9278.791666666666
La Dorada,2012-12-31,2012,0.7054669544734359,0.7253902788078643,-0.192,0.9995,0.12928267983680283,9278.291666666666
La Dorada,2013-12-31,2013,0.7284799203004061,0.7464400921844155,-0.1879,0.9993,0.11806977928887517,9278.75
La Dorada,2014-12-31,2014,0.7036531315928832,0.7205911920226811,-0.1981,0.9993,0.12094996388171529,9278.541666666666
La Dorada,2015-12-31,2015,0.6903639713392561,0.7042470694447007,-0.1448,0.9986,0.12191139659183022,9278.75
La Dorada,2016-12-31,2016,0.6901875886686204,0.7031265749532055,-0.16,0.9995,0.1168450242642574,9278.458333333334
La Dorada,2017-12-31,2017,0.7338383870513142,0.7496770361516903,-0.1522,0.9993,0.11792038516689411,9278.75
La Dorada,2018-12-31,2018,0.7279701407258727,0.7412313357206428,-0.1984,0.9993,0.11467277096726862,9278.5
La Dorada,2019-12-31,2019,0.7165299024196089,0.7260527606258718,-0.171,0.9994,0.11939120385103426,9278.708333333334
La Dorada,2020-12-31,2020,0.7472497589349509,0.7620788611106137,-0.159,0.9993,0.1100610409621768,9278.0
La Dorada,2021-12-31,2021,0.7446050595980255,0.7611697290122618,-0.1432,0.9996,0.11631967206484667,9278.541666666666
La Dorada,2022-12-31,2022,0.7234118154196776,0.7493537080491941,-0.0713,0.9996,0.1359063247644096,9274.5
La Dorada,2023-12-31,2023,0.7383297309969268,0.7543378345573828,-0.1926,0.9991,0.11758478408742883,9278.791666666666
La Dorada,2024-12-31,2024,0.7229290895773218,0.7437421148965404,-0.1953,0.9996,0.12070981844843615,9278.75
La Dorada,2025-12-31,2025,0.7155111833437783,0.7366024784583841,-0.1861,0.9993,0.12920536303571062,9278.458333333334
La Merced,2005-12-31,2005,0.7134138142737135,0.7438211493788471,0.0174,0.9993,0.12931472525670867,1533.9166666666667
La Merced,2006-12-31,2006,0.7251337063515053,0.7546241738749698,0.0431,0.9985,0.12346737714164961,1533.8333333333333
La Merced,2007-12-31,2007,0.728223054647582,0.7624774630845392,0.0391,0.9988,0.127519273475288,1533.9166666666667
La Merced,2008-12-31,2008,0.7108236769031396,0.7531955437859364,0.0212,0.998,0.1403258761928443,1534.0833333333333
La Merced,2009-12-31,2009,0.7367435826682555,0.7681408405120066,0.0372,0.9979,0.12057945493204457,1533.8333333333333
La Merced,2010-12-31,2010,0.6827440376555353,0.7138541270199252,0.0291,0.9994,0.14549877623596555,1533.8333333333333
La Merced,2011-12-31,2011,0.7041470913714205,0.7461638296463985,0.0376,0.9985,0.14450234164611944,1533.875
La Merced,2012-12-31,2012,0.7244820465294793,0.7599343051718962,0.0314,0.9992,0.12545793173276074,1534.0833333333333
La Merced,2013-12-31,2013,0.730401366226078,0.7704247080430461,0.0266,0.9992,0.12525170844340458,1533.8333333333333
La Merced,2014-12-31,2014,0.7343003968239784,0.7633924661225171,0.0524,0.997,0.1156940365088751,1533.875
La Merced,2015-12-31,2015,0.707205912980429,0.7246618898979912,0.0649,0.9982,0.10248471703944882,1533.9166666666667
La Merced,2016-12-31,2016,0.7112833306025186,0.7381410216990556,0.0574,0.9984,0.11614807064021082,1534.0833333333333
La Merced,2017-12-31,2017,0.7371326439579601,0.7766342893162568,0.0529,0.9977,0.13249457247731727,1533.9166666666667
La Merced,2018-12-31,2018,0.7312607214475827,0.7618608425871023,0.0417,0.9988,0.130588523426255,1533.9166666666667
La Merced,2019-12-31,2019,0.7212395216640431,0.755627248584756,0.0403,0.9989,0.12643063031520232,1533.8333333333333
La Merced,2020-12-31,2020,0.7461023478815497,0.7714751925802803,0.0304,0.9982,0.11083410293415052,1534.25
La Merced,2021-12-31,2021,0.7174128430817558,0.7643497051463665,0.0261,0.9973,0.15016491470295346,1533.75
La Merced,2022-12-31,2022,0.7088016466158978,0.7649986326568124,0.001,0.9993,0.16629406937341215,1533.875
La Merced,2023-12-31,2023,0.7550879092200188,0.7685721271281691,0.0476,0.9982,0.08349655762511653,1533.9166666666667
La Merced,2024-12-31,2024,0.7306743826941338,0.7587421587056378,0.0253,0.9987,0.11582052519935526,1533.9583333333333
La Merced,2025-12-31,2025,0.717021405111828,0.7496209928287455,0.0157,0.9993,0.12996046392686741,1533.9166666666667
Manizales,2005-12-31,2005,0.6321976877188629,0.7055274382080046,0.0046,0.9989,0.21468634558575028,7421.583333333333
Manizales,2006-12-31,2006,0.6338965509162499,0.6959302110336715,-0.0185,0.9992,0.20550454320532505,7421.583333333333
Manizales,2007-12-31,2007,0.6258004948876823,0.6916033147813425,0.0053,0.9992,0.21956541410324326,7421.791666666667
Manizales,2008-12-31,2008,0.5854021366873362,0.6501681406502354,0.0011,0.9995,0.23416618267077202,7422.083333333333
Manizales,2009-12-31,2009,0.6345517088491881,0.7089769770983337,-0.0006000000000000001,0.9993,0.21318010157760783,7421.791666666667
