Municipio,Año,PRECTOTCORR_total_anual,PRECTOTCORR_prom_diario_anual,PRECTOTCORR_max_mes,PRECTOTCORR_min_mes,PRECTOTCORR_std_mes,T2M_prom_anual,T2M_max_mes,T2M_min_mes,T2M_std_mes,RH2M_prom_anual,RH2M_max_mes,RH2M_min_mes,RH2M_std_mes,GWETROOT_prom_anual,GWETROOT_max_mes,GWETROOT_min_mes,GWETROOT_std_mes,ALLSKY_SFC_LW_DWN_prom_anual,ALLSKY_SFC_LW_DWN_max_mes,ALLSKY_SFC_LW_DWN_min_mes,ALLSKY_SFC_LW_DWN_std_mes,PS_prom_anual,PS_max_mes,PS_min_mes,PS_std_mes,WS2M_prom_anual,WS2M_max_mes,WS2M_min_mes,WS2M_std_mes,NDVI_prom_anual,NDVI_max_anual,NDVI_min_anual,NDVI_std_anual,NDVI_min_prom_anual,NDVI_max_prom_anual,NDVI_std_prom_anual,n_observaciones_16d_anual,meses_disponibles,T2M_rango_anual,NDVI_rango_anual,GWETROOT_rango_anual,PRECTOTCORR_rango_mes,estres_termico_hidrico,exceso_humedad_proxy,NDVI_ajustado_temp,Código Dane municipio,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
Anserma,2009,1809.62,4.9625,245.52,97.96,39.65120331392762,16.05666666666667,16.41,15.74,0.1912795827784,86.99083333333334,89.73,83.04,1.8795185956821905,0.8383333333333334,0.89,0.77,0.0309936454875199,31.988333333333333,32.34,31.64,0.2209003614686246,78.89,78.96,78.8,0.0592375802096236,0.2875,0.34,0.25,0.0273446022594455,0.7766958333333333,0.91815,0.6623,0.0790396490213882,0.71115,0.8422416666666667,0.1011226979531415,23,12,0.6699999999999999,0.25585,0.12,147.56,19.153081510934395,1517.0647666666669,0.0483721714760224,17042,6714.0,4785.0,6359.0,1.33
Anserma,2010,2306.36,6.308333333333334,308.4,37.82,88.90133625474246,16.170833333333334,17.47,15.16,0.8324821410405866,87.40750000000001,91.42,81.57,2.791230178450164,0.8433333333333334,0.98,0.66,0.105514611942296,32.0175,32.5,31.53,0.3472260201812507,78.91333333333334,79.03,78.79,0.0763167244071838,0.2916666666666667,0.36,0.26,0.0291807325390427,0.7238083333333334,0.8411500000000001,0.5602,0.0884821626434424,0.6373,0.8103166666666667,0.1334631908272281,23,12,2.3099999999999987,0.28095,0.3199999999999999,270.58,19.17490118577075,1945.0302666666669,0.044760113372842,17042,6838.0,615.0,7995.0,1.3
Anserma,2011,2576.44,7.058333333333334,361.2,97.65,85.64827592950701,15.599166666666669,16.19,15.05,0.286656536114162,88.25,91.35,85.11,2.00023634967107,0.9225,0.99,0.83,0.0495663008688179,31.83083333333333,32.17,31.58,0.2123658221660034,78.885,79.0,78.78,0.0677562476153178,0.3058333333333333,0.35,0.27,0.0253908835942542,0.7630374999999999,0.8294,0.6344000000000001,0.0634877909701757,0.7197749999999999,0.8062999999999999,0.0667444519005447,23,12,1.1400000000000006,0.1949999999999999,0.16,263.55,16.909665763324302,2376.7659,0.0489152732517762,17042,6781.0,5254.0,5910.0,1.13
Anserma,2012,2560.38,6.988333333333333,298.84000000000003,127.1,54.533728262258194,15.755,16.03,15.53,0.1553002956152429,87.56583333333333,90.09,84.19,2.0987981770238897,0.9133333333333332,0.98,0.81,0.0609520427479794,31.824166666666667,32.22,31.51,0.2284914294526894,78.89999999999999,78.99,78.83,0.061938385806893,0.2891666666666666,0.35,0.23,0.0336987545853857,0.7696958333333334,0.87615,0.4503,0.108252433225505,0.7193416666666667,0.8200500000000001,0.0776853222785402,23,12,0.5000000000000018,0.42585,0.1699999999999999,171.74000000000004,17.250000000000004,2338.4804,0.0488540674918015,17042,3256.0,2605.0,2605.0,1.0
Anserma,2013,2728.97,7.4875,340.69,80.91,68.9192456902653,16.006666666666668,16.66,15.52,0.3936388130653742,88.12333333333333,91.0,85.09,1.8007389055775402,0.9308333333333332,0.99,0.87,0.0384845502255204,31.945000000000004,32.31,31.46,0.2594925117153964,78.90666666666667,78.99,78.81,0.0597469410907106,0.2825,0.33,0.26,0.0191287503750007,0.7729625000000001,0.8488,0.5377,0.0889363028572084,0.7233916666666667,0.8225333333333333,0.0764768125070577,23,12,1.1400000000000006,0.3111,0.12,259.78,17.196060877350046,2540.2162416666665,0.0482900354019158,17042,6612.0,5098.0,4970.0,0.97
Anserma,2014,2404.87,6.6025,303.29999999999995,105.4,69.26898866124374,16.063333333333333,16.62,15.7,0.2629321839055348,87.52833333333332,90.52,83.24,2.388433618821161,0.8958333333333334,0.97,0.75,0.0736648841139056,31.9275,32.33,31.51,0.2850239224409705,78.91166666666666,79.02,78.8,0.0646435447572873,0.2858333333333333,0.3,0.25,0.0188092498199125,0.8028375,0.8752500000000001,0.71565,0.05465596584338,0.767725,0.8379500000000001,0.0541708076823548,23,12,0.9200000000000016,0.1596,0.2199999999999999,197.9,17.931162790697673,2154.362708333333,0.0499795081967213,17042,6617.0,5276.0,5561.0,1.05
Anserma,2015,1332.92,3.659166666666667,193.44,26.66,53.66772982195562,16.340833333333332,16.78,15.74,0.2917177444452812,85.04583333333333,89.21,79.44,3.204035689091133,0.775,0.91,0.65,0.0910044953934594,31.936666666666667,32.34,31.35,0.3279781958754229,78.91666666666667,78.99,78.83,0.0459907764138827,0.2841666666666667,0.31,0.25,0.0219330938551907,0.7733500000000001,0.86165,0.6391,0.0691924095942217,0.73175,0.81495,0.0641795827578771,23,12,1.040000000000001,0.22255,0.26,166.78,21.084946236559137,1033.013,0.0473262277525626,17042,6594.0,5234.0,6215.0,1.19
Anserma,2016,1728.86,4.72,227.85,39.06,61.18273342779783,16.599166666666665,18.07,15.7,0.8481043925166633,85.72666666666667,90.63,82.08,2.9484860008095137,0.7200000000000001,0.88,0.61,0.0802269508105825,32.016666666666666,32.57,31.56,0.3382933996435964,78.95833333333333,79.07,78.85,0.0755384710333814,0.2733333333333334,0.33,0.23,0.0293360880249235,0.7328583333333333,0.8396,0.4707,0.116777017184137,0.6551083333333333,0.8106083333333333,0.1199510230630997,23,12,2.370000000000001,0.3689,0.27,188.79,23.054398148148145,1244.7792000000002,0.0441503087504392,17042,651.0,5066.0,6221.0,1.23
Anserma,2017,2211.96,6.029166666666666,311.55,52.92,82.05597058770866,16.140833333333333,16.57,15.84,0.2215834886092435,87.38333333333333,91.19,84.38,1.9423197627080009,0.8741666666666666,0.97,0.79,0.0628791529744785,31.851666666666663,32.41,31.55,0.2361368375764477,78.94083333333333,79.03,78.83,0.0603713257241955,0.2875,0.35,0.24,0.0319445542378438,0.7258041666666667,0.84625,0.3745,0.1322565661857377,0.64345,0.8081583333333334,0.1270542320922918,23,12,0.7300000000000004,0.4717499999999999,0.1799999999999999,258.63,18.46425166825548,1933.6217,0.0449669575094222,17042,6345.0,4707.0,5950.0,1.26
Anserma,2018,1983.61,5.449166666666667,265.36,71.3,60.64488398692737,15.970833333333331,16.59,15.47,0.3033587235460934,87.29166666666667,90.99,82.44,2.3138155553635693,0.8775,0.95,0.76,0.0570685393348926,31.7825,32.12,31.18,0.299912866134027,78.91916666666667,79.01,78.84,0.0652907251290625,0.285,0.34,0.22,0.0389638527122488,0.7613625,0.9024,0.549,0.1184222359437158,0.7049083333333334,0.8178166666666667,0.0870962707117866,23,12,1.1199999999999992,0.3533999999999999,0.1899999999999999,194.06,18.200379867046536,1740.617775,0.0476720584398643,17042,6249.0,4804.0,6211.0,1.29
