modelo,mae,rmse,sesgo,municipio,variable,modelo_seleccionado
random_forest_lags,0.617896406026176,0.759764430496731,-0.3964686192682214,Aranzazu,temp_min,seasonal_naive
seasonal_naive,0.8086937574497822,0.9699013215909973,-0.32640544107943054,Aranzazu,temp_max,seasonal_naive
sarima,0.8370616910503212,0.9766311339338657,0.3151486136776401,Aranzazu,temp_max,seasonal_naive
random_forest_lags,0.7425376477513825,1.0062406052100754,-0.6026245892063984,Aranzazu,temp_max,seasonal_naive
sarima,5.981064425114737,8.353170985809186,0.9493408447307662,Aranzazu,et_real_mm,sarima
seasonal_naive,7.077072729153734,8.717765068772358,-2.763915528657151,Aranzazu,et_real_mm,sarima
random_forest_lags,7.806467283092334,9.663853275975736,-4.244580443326463,Aranzazu,et_real_mm,sarima
sarima,6.028605950855884,7.4590558630847665,-4.1344841524349585,Aranzazu,et_potencial_mm,sarima
seasonal_naive,6.565846782536727,8.143932300863433,-5.291127146699773,Aranzazu,et_potencial_mm,sarima
random_forest_lags,6.9987335654436835,8.842718881573989,-5.662748006959475,Aranzazu,et_potencial_mm,sarima
random_forest_lags,0.08528821566002315,0.09777546989586952,-0.06003431285990225,Aranzazu,ndvi_mean,random_forest_lags
sarima,0.08966821545821507,0.10695715608227559,-0.06371630739448088,Aranzazu,ndvi_mean,random_forest_lags
seasonal_naive,0.10059051349940917,0.10952137571598382,-0.08584888132537011,Aranzazu,ndvi_mean,random_forest_lags
seasonal_naive,0.032572300944669355,0.0679240444294949,-0.024039979757085016,Aranzazu,ndvi_min,seasonal_naive
sarima,0.032234211964088474,0.0687288235078236,-0.023452642336737346,Aranzazu,ndvi_min,seasonal_naive
random_forest_lags,0.032289610948930965,0.0696344072651198,-0.027638753812006082,Aranzazu,ndvi_min,seasonal_naive
seasonal_naive,0.008748144399460183,0.016324378520395547,0.001958738191632926,Aranzazu,ndvi_max,seasonal_naive
random_forest_lags,0.00889545084127711,0.016401915088563996,0.0023179886096750856,Aranzazu,ndvi_max,seasonal_naive
sarima,0.00903425392857827,0.016575691156657753,0.001895602602160826,Aranzazu,ndvi_max,seasonal_naive
random_forest_lags,57.533130120436375,79.70020613577185,-6.196051851843465,Belalcázar,precip_mm,random_forest_lags
seasonal_naive,61.98403918402869,84.93807978180747,-2.091563882466531,Belalcázar,precip_mm,random_forest_lags
sarima,59.029828975047536,89.57494261080365,-28.42289835748312,Belalcázar,precip_mm,random_forest_lags
random_forest_lags,1.9313675886650477,2.7221327102469957,-0.32583866666817857,Belalcázar,precip_mean_mm,random_forest_lags
seasonal_naive,2.06730533692673,2.9112176106897163,-0.10160931214681972,Belalcázar,precip_mean_mm,random_forest_lags
sarima,1.9635213086690155,3.0682079658459447,-0.9691767330330608,Belalcázar,precip_mean_mm,random_forest_lags
seasonal_naive,10.215329022147294,13.58549700333375,-2.3734438609244153,Belalcázar,precip_max_mm,seasonal_naive
sarima,10.86435741372474,14.482124744760561,-5.512864786339761,Belalcázar,precip_max_mm,seasonal_naive
random_forest_lags,11.024302151207431,14.713497930470087,-6.642212222142267,Belalcázar,precip_max_mm,seasonal_naive
random_forest_lags,0.3038772028480655,0.3698622559841138,-0.1371020812887115,Belalcázar,temp_mean,random_forest_lags
sarima,0.3367761339848992,0.3837370213601576,0.014734349894186248,Belalcázar,temp_mean,random_forest_lags
seasonal_naive,0.4661113079535341,0.591519886639204,-0.45716704251422635,Belalcázar,temp_mean,random_forest_lags
sarima,0.42711481450656436,0.5001290778443309,-0.2172316999649041,Belalcázar,temp_min,sarima
seasonal_naive,0.5823126589842493,0.6805782170882092,-0.5270024520976283,Belalcázar,temp_min,sarima
random_forest_lags,0.5796755558697281,0.6955739925797959,-0.5324457399512347,Belalcázar,temp_min,sarima
random_forest_lags,1.2538493729640927,1.480082096859884,-0.5617791569080717,Belalcázar,temp_max,random_forest_lags
seasonal_naive,1.2013482427117272,1.489089274442936,-0.7249721890674412,Belalcázar,temp_max,random_forest_lags
sarima,1.2481010634311667,1.568468306705898,-0.8779609781199089,Belalcázar,temp_max,random_forest_lags
sarima,5.694155967859882,6.721922102618006,-2.4508671088771905,Belalcázar,et_real_mm,sarima
seasonal_naive,8.229780195018025,9.6593257774304,-7.397575931388616,Belalcázar,et_real_mm,sarima
random_forest_lags,9.406809435267569,11.205053894511972,-8.961077463272206,Belalcázar,et_real_mm,sarima
sarima,5.958916851670377,7.246954437085857,-3.9323797151389854,Belalcázar,et_potencial_mm,sarima
seasonal_naive,6.395196929968315,7.785738434806568,-4.916643108816781,Belalcázar,et_potencial_mm,sarima
random_forest_lags,7.9990018339889595,9.527372137821978,-7.535588163243514,Belalcázar,et_potencial_mm,sarima
seasonal_naive,0.03223494082420296,0.042368808129623764,0.005284361161296705,Belalcázar,ndvi_mean,seasonal_naive
random_forest_lags,0.0360348030540749,0.04445142122995359,-0.0011218970744867373,Belalcázar,ndvi_mean,seasonal_naive
sarima,0.03802340493921893,0.05101178507094723,0.012213609792829193,Belalcázar,ndvi_mean,seasonal_naive
random_forest_lags,0.08182929309761293,0.12054558014440868,-0.016537931614009502,Belalcázar,ndvi_min,random_forest_lags
seasonal_naive,0.08045820962663067,0.12492204828600345,-0.02523178137651821,Belalcázar,ndvi_min,random_forest_lags
sarima,0.0873965679067398,0.1291304619332722,-0.018389338560484025,Belalcázar,ndvi_min,random_forest_lags
seasonal_naive,0.011988191632928503,0.018663057864441213,0.0034552631578947304,Belalcázar,ndvi_max,seasonal_naive
sarima,0.01425883546547286,0.021062411146116976,0.0027843366115234284,Belalcázar,ndvi_max,seasonal_naive
random_forest_lags,0.0249711153841087,0.027848609046395127,-0.019191753105049336,Belalcázar,ndvi_max,seasonal_naive
