Código Dane municipio,Municipio,Año,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
17174,Chinchiná,2016,4200.92,2850.46,5994.36,2.1
17174,Chinchiná,2017,3749.7,2374.38,5658.47,2.38
17174,Chinchiná,2018,4045.46,2704.18,3714.82,1.37
17272,Filadelfia,2012,2063.37,1274.83,2057.49,1.61
17272,Filadelfia,2013,2565.4,1772.76,3275.83,1.85
17272,Filadelfia,2014,2618.58,1861.3,3419.19,1.84
17272,Filadelfia,2015,2836.11,2015.93,3484.49,1.73
17272,Filadelfia,2016,2169.44,1651.49,3380.71,2.05
17272,Filadelfia,2017,1936.42,1375.66,3191.28,2.32
17272,Filadelfia,2018,2089.16,1566.74,2095.09,1.34
17388,La Merced,2012,936.53,566.41,914.55,1.61
17388,La Merced,2013,1164.39,787.64,1456.1,1.85
17388,La Merced,2014,1188.53,826.98,1519.83,1.84
17388,La Merced,2015,1287.26,895.68,1548.85,1.73
17388,La Merced,2016,984.67,733.76,1502.72,2.05
17388,La Merced,2017,878.91,611.21,1418.52,2.32
17388,La Merced,2018,948.23,696.1,931.27,1.34
17001,Manizales,2012,5083.29,2810.82,4625.07,1.65
17001,Manizales,2013,6320.11,3908.69,7363.8,1.88
17001,Manizales,2014,6451.1,4103.93,7686.07,1.87
17001,Manizales,2015,6987.02,4444.86,7832.86,1.76
17001,Manizales,2016,5344.61,3641.32,7599.58,2.09
17001,Manizales,2017,4770.55,3033.14,7173.74,2.37
17001,Manizales,2018,5146.84,3454.44,4709.6,1.36
17433,Manzanares,2012,3543.78,2338.27,3666.25,1.57
17433,Manzanares,2013,4406.02,3251.57,5837.22,1.8
17433,Manzanares,2014,4497.34,3413.98,6092.68,1.78
17433,Manzanares,2015,4870.95,3697.59,6209.04,1.68
17433,Manzanares,2016,3725.96,3029.15,6024.12,1.99
17433,Manzanares,2017,3325.76,2523.22,5686.56,2.25
17433,Manzanares,2018,3588.08,2873.69,3733.26,1.3
17442,Marmato,2012,404.66,275.86,419.55,1.52
17442,Marmato,2013,503.12,383.61,667.98,1.74
17442,Marmato,2014,513.55,402.77,697.21,1.73
17442,Marmato,2015,556.21,436.23,710.53,1.63
17442,Marmato,2016,425.46,357.37,689.37,1.93
17442,Marmato,2017,379.76,297.68,650.74,2.19
17442,Marmato,2018,409.72,339.02,427.21,1.26
17444,Marquetalia,2012,2795.56,1840.42,2943.87,1.6
17444,Marquetalia,2013,3475.75,2559.26,4687.07,1.83
17444,Marquetalia,2014,3547.79,2687.09,4892.2,1.82
17444,Marquetalia,2015,3842.52,2910.32,4985.63,1.71
17444,Marquetalia,2016,2939.27,2384.2,4837.15,2.03
17444,Marquetalia,2017,2623.57,1985.99,4566.1,2.3
17444,Marquetalia,2018,2830.51,2261.84,2997.67,1.33
17446,Marulanda,2012,226.37,152.62,236.44,1.55
17446,Marulanda,2013,281.45,212.23,376.44,1.77
17446,Marulanda,2014,287.28,222.83,392.91,1.76
17446,Marulanda,2015,311.15,241.34,400.42,1.66
17446,Marulanda,2016,238.01,197.71,388.49,1.96
17446,Marulanda,2017,212.44,164.69,366.72,2.23
17446,Marulanda,2018,229.2,187.57,240.76,1.28
17486,Neira,2012,3206.23,1984.06,3185.33,1.61
17486,Neira,2013,3986.34,2759.01,5071.52,1.84
17486,Neira,2014,4068.96,2896.82,5293.48,1.83
17486,Neira,2015,4406.99,3137.47,5394.57,1.72
17486,Neira,2016,3371.05,2570.28,5233.91,2.04
17486,Neira,2017,3008.97,2140.99,4940.62,2.31
17486,Neira,2018,3246.31,2438.37,3243.55,1.33
17524,Palestina,2012,3017.92,2459.06,3940.82,1.6
17524,Palestina,2013,3752.22,3419.53,6274.37,1.83
17524,Palestina,2014,3829.99,3590.34,6548.96,1.82
17524,Palestina,2015,4148.16,3888.6,6674.04,1.72
17524,Palestina,2016,3173.07,3185.63,6475.26,2.03
17524,Palestina,2017,2832.25,2653.56,6112.42,2.3
17524,Palestina,2018,3055.65,3022.14,4012.84,1.33
17541,Pensilvania,2012,3892.35,2730.84,4220.62,1.55
17541,Pensilvania,2013,4839.4,3797.47,6719.85,1.77
