municipio,date,anio,mes,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Risaralda,2022-11-30,2022,11,0.6817709134426002,0.7600849960712527,0.0369,0.9989,0.1888742013244069,1609.0
Risaralda,2022-12-31,2022,12,0.6452375803442758,0.7245466161564855,0.0339,0.9968,0.18713114465673505,1611.5
Risaralda,2023-01-31,2023,1,0.6590360759975111,0.6941476879490985,0.0546,0.9956,0.1484614019853904,1609.0
Risaralda,2023-02-28,2023,2,0.6972844152103982,0.7479515706717232,0.0674,0.9544,0.14786689152038654,1602.0
Risaralda,2023-03-31,2023,3,0.667034681915041,0.7363077249161866,0.0511,0.9983,0.1934452556414942,1601.5
Risaralda,2023-04-30,2023,4,0.7809363463962775,0.8008640105193523,0.1103,0.9984,0.08403113835668416,1602.0
Risaralda,2023-05-31,2023,5,0.6582737897485209,0.7012322329466505,0.0769,0.9956,0.18203747658743008,1602.0
Risaralda,2023-06-30,2023,6,0.7703626115295164,0.7962935459401946,0.0741,0.9938,0.09037670064568565,1602.0
Risaralda,2023-07-31,2023,7,0.785873981291299,0.7910674340261363,0.4257,0.9688,0.04729538815694845,1602.0
Risaralda,2023-08-31,2023,8,0.7649110260715518,0.7792620347563384,0.1333,0.9666,0.08622270270237639,1602.0
Risaralda,2023-09-30,2023,9,0.7083260623152493,0.7265161476280508,0.1314,0.9671,0.11094688907318959,1602.0
Risaralda,2023-10-31,2023,10,0.7258699557685618,0.7595471615069002,0.0545,0.9979,0.1253540155010747,1602.0
Risaralda,2023-11-30,2023,11,0.7071418317752942,0.732141460242935,0.0696,0.9921,0.12615792380226876,1609.0
Risaralda,2023-12-31,2023,12,0.7120721543903685,0.7833613347302,0.0428,0.9997,0.16934426882689396,1614.0
Risaralda,2024-01-31,2024,1,0.7701223732718272,0.7789227564378394,0.1212,0.9467,0.0612133847357795,1609.0
Risaralda,2024-02-29,2024,2,0.7541064357013991,0.7552079243152567,0.39,0.974,0.0505418008736622,1602.0
Risaralda,2024-03-31,2024,3,0.7206188402017037,0.755945564420523,0.0901,0.9979,0.1330634670119874,1602.0
Risaralda,2024-04-30,2024,4,0.6439689109774386,0.6877410260384378,0.1115,0.9971,0.17725062546365128,1602.0
Risaralda,2024-05-31,2024,5,0.733668897811239,0.8029260434378238,0.1075,0.9978,0.1660637804313097,1601.5
Risaralda,2024-06-30,2024,6,0.7151609960024679,0.7771147337466364,0.0568,0.9729,0.1772226822038228,1601.5
Risaralda,2024-07-31,2024,7,0.7744033426251953,0.7874981488980728,0.079,0.9617,0.06813461568913196,1602.0
Risaralda,2024-08-31,2024,8,0.7923402565858113,0.7987666659677707,0.3342,0.9706,0.05236558327454675,1602.0
Risaralda,2024-09-30,2024,9,0.7014037708115988,0.7343231894290374,0.055,0.9937,0.14625938638695324,1602.0
Risaralda,2024-10-31,2024,10,0.7255857251727953,0.7615716953681695,0.0787,0.9991,0.1342033490399947,1602.0
Risaralda,2024-11-30,2024,11,0.6550394513856624,0.7563406225980017,0.0405,0.983,0.2214176039628366,1609.0
Risaralda,2024-12-31,2024,12,0.7654122353399899,0.7987352639816135,0.0367,0.9523,0.1215462603749024,1611.5
Risaralda,2025-01-31,2025,1,0.7385372849292684,0.767766629166769,0.0257,0.9891,0.12637602215784371,1611.5
Risaralda,2025-02-28,2025,2,0.6097821901897502,0.6756180956534452,0.0404,0.9994,0.20387831781829835,1602.0
Risaralda,2025-03-31,2025,3,0.6990893605459911,0.7344235273667863,0.0862,0.9984,0.11438199934534254,1602.0
Risaralda,2025-04-30,2025,4,0.6825254155688261,0.7598804431111815,0.0669,0.9906,0.1878779774787272,1601.5
Risaralda,2025-05-31,2025,5,0.7231094410211263,0.7752609498856093,0.0863,0.9889,0.15174984976153927,1602.0
Risaralda,2025-06-30,2025,6,0.6558400632770386,0.6774336183200103,0.076,0.9818,0.16915164647331715,1602.0
Risaralda,2025-07-31,2025,7,0.7527738655505565,0.7889788907085409,0.1357,0.9905,0.1200435951944328,1602.0
Risaralda,2025-08-31,2025,8,0.8004526627162658,0.8167838254102937,0.1689,0.9226,0.06905949411252116,1602.0
Risaralda,2025-09-30,2025,9,0.7371034185630764,0.7636262601081908,0.0955,0.9864,0.11565442982140485,1602.0
Risaralda,2025-10-31,2025,10,0.6513003129890451,0.6662875217391303,0.0762,0.9916,0.188716682398588,1602.0
Risaralda,2025-11-30,2025,11,0.6501171522802784,0.6584085672484481,0.0489,0.994,0.1560798374768885,1609.0
Risaralda,2025-12-31,2025,12,0.7054224107050464,0.7734852452118127,0.0168,0.9978,0.1839300560704549,1610.0
Salamina,2005-01-31,2005,1,0.6409384051620004,0.705083571640313,0.0371,0.9983,0.1907899746129004,6513.0
Salamina,2005-02-28,2005,2,0.6573747613798744,0.736442433272468,0.0216,0.9971,0.21190497117852194,6505.0
Salamina,2005-03-31,2005,3,0.7549392083492976,0.7676161969533971,0.0248,0.9903,0.1011012236667857,6505.0
Salamina,2005-04-30,2005,4,0.5908800235741776,0.6174081387294922,0.0331,0.9973,0.18165721788863126,6505.0
Salamina,2005-05-31,2005,5,0.7448079062519067,0.7676709099400424,0.0511,0.999,0.11438900797575854,6505.0
Salamina,2005-06-30,2005,6,0.7210365540051256,0.7460925245771317,0.0467,0.9959,0.12631208770904534,6505.0
Salamina,2005-07-31,2005,7,0.6981965947990827,0.711030275320613,0.0401,0.9947,0.1028503374327079,6505.0
Salamina,2005-08-31,2005,8,0.662095424048933,0.6972429509057518,0.0415,0.998,0.1533071179913044,6505.0
Salamina,2005-09-30,2005,9,0.5927706780100771,0.620955960045136,0.0219,0.9949,0.1812199830755833,6504.5
Salamina,2005-10-31,2005,10,0.4595827071108206,0.4937102209131075,0.033,0.9864,0.2145158821835407,6505.0
Salamina,2005-11-30,2005,11,0.6412187600808303,0.7087131403438036,0.0162,0.9986,0.20822573128509242,6512.5
Salamina,2005-12-31,2005,12,0.6645768047347345,0.7286420436795944,0.0223,0.9973,0.18939845261139765,6510.0
Salamina,2006-01-31,2006,1,0.6650998984197664,0.7029631845105537,0.0522,0.9976,0.1677643656952573,6513.0
Salamina,2006-02-28,2006,2,0.7443449636698469,0.7715997394324234,0.0369,0.9957,0.12922145423888776,6505.0
Salamina,2006-03-31,2006,3,0.5406317759717034,0.5039594990427472,0.0186,0.9993,0.17746869277077015,6505.0
Salamina,2006-04-30,2006,4,0.5212359195722309,0.49606881809253756,0.0179,0.9981,0.1971530445063073,6505.0
Salamina,2006-05-31,2006,5,0.6660494126273782,0.718738789811447,0.0507,0.9964,0.17778073297043073,6505.0
Salamina,2006-06-30,2006,6,0.733244351917737,0.7480749706972363,0.074,0.9747,0.1026731905441523,6505.0
Salamina,2006-07-31,2006,7,0.660306685443922,0.6933284050021018,0.0325,0.9849,0.14009764619846882,6504.5
Salamina,2006-08-31,2006,8,0.6695597249305141,0.6836457036495653,0.0357,0.9881,0.1136571503572785,6504.5
Salamina,2006-09-30,2006,9,0.5987495225710009,0.6112559288223821,0.0073,0.9946,0.1766503393224434,6505.0
Salamina,2006-10-31,2006,10,0.5622829990984349,0.6270704624522697,0.0308,0.9969,0.2323265935042272,6505.0
Salamina,2006-11-30,2006,11,0.44765328378793257,0.44315001306579105,0.0173,0.9994,0.2570016238910931,6513.0
Salamina,2006-12-31,2006,12,0.6535098877699674,0.7020581978498418,-0.005,0.9971,0.1745797928428674,6509.5
Salamina,2007-01-31,2007,1,0.7441495503803522,0.7520645283206346,0.0663,0.982,0.0872227242053212,6512.5
Salamina,2007-02-28,2007,2,0.7245806504572954,0.7343400781297972,0.0676,0.9879,0.0810070233468356,6505.0
Salamina,2007-03-31,2007,3,0.5182039623115154,0.5524684358049305,0.0153,0.9948,0.1994637661047129,6505.0
Salamina,2007-04-30,2007,4,0.5214504528922239,0.5566961248229836,0.0239,0.9952,0.2400486407438057,6505.0
Salamina,2007-05-31,2007,5,0.5516560213872582,0.6075333919735999,0.0222,0.9942,0.2363622919191669,6505.0
Salamina,2007-06-30,2007,6,0.7200907836969597,0.7518757368774879,0.0368,0.9932,0.126750599182126,6504.0
Salamina,2007-07-31,2007,7,0.6859516542189737,0.7188664732463088,0.0359,0.9988,0.149979139096064,6505.0
Salamina,2007-08-31,2007,8,0.6533411518505432,0.7011754427058392,0.0315,0.9968,0.17345463585150894,6505.0
Salamina,2007-09-30,2007,9,0.6767102736959059,0.7344893201265177,0.0437,0.9985,0.17532414655585105,6504.5
Salamina,2007-10-31,2007,10,0.6287531545797899,0.7242117012604256,0.0178,0.993,0.2292343058857594,6505.0
Salamina,2007-11-30,2007,11,0.6453441572647001,0.6972005525493701,0.0143,0.9948,0.17165200464002925,6513.0
Salamina,2007-12-31,2007,12,0.6035631567655175,0.6385344158111186,0.0171,0.998,0.20376391224943968,6510.0
Salamina,2008-01-31,2008,1,0.6757305843333032,0.7164746588198032,0.01,0.998,0.13103601791226,6513.0
Salamina,2008-02-29,2008,2,0.6178333771220372,0.7071009158173713,0.0179,0.9963,0.22453190013891525,6505.0
Salamina,2008-03-31,2008,3,0.49857942455872667,0.525228150843638,0.0184,0.996,0.24447088774112016,6504.5
Salamina,2008-04-30,2008,4,0.5676425230158069,0.5782178361463746,0.0343,0.9969,0.17058204199195137,6505.0
Salamina,2008-05-31,2008,5,0.5911843543406661,0.6776373023651383,0.0173,0.9982,0.24376451060764914,6504.0
Salamina,2008-06-30,2008,6,0.593994093023314,0.6597564254446435,0.0307,0.9976,0.1991631485530041,6505.0
Salamina,2008-07-31,2008,7,0.7456237210521098,0.7616489533987392,0.0476,0.9901,0.10452227633924036,6505.0
Salamina,2008-08-31,2008,8,0.5435786821676165,0.5861121783358485,0.023,0.9984,0.1957547699899847,6505.0
Salamina,2008-09-30,2008,9,0.5225711843271675,0.5307242676272763,0.0336,0.9964,0.21571898058916772,6505.0
Salamina,2008-10-31,2008,10,0.634534723096009,0.697424782940354,0.028,0.9995,0.1954832535015683,6509.0
Salamina,2008-11-30,2008,11,0.4614101398403415,0.4863607142857143,0.0173,0.9974,0.2519052118198461,6513.0
Salamina,2008-12-31,2008,12,0.6598360987423793,0.7305116170375273,0.0096,0.9976,0.20466976901657408,6508.5
Salamina,2009-01-31,2009,1,0.6344249251911429,0.711099347053405,0.0,0.9994,0.2107735893305327,6513.0
Salamina,2009-02-28,2009,2,0.6230538663770819,0.697157476108622,0.0229,0.9988,0.21031915123336858,6504.5
Salamina,2009-03-31,2009,3,0.6027072289535266,0.7149338807051362,0.0081,0.9952,0.25064977599169586,6504.0
Salamina,2009-04-30,2009,4,0.5439893083523801,0.5704693780042653,0.0286,0.9934,0.22410519307560195,6505.0
Salamina,2009-05-31,2009,5,0.74114365394089,0.7578213759727995,0.0593,0.9933,0.10557713859382745,6505.0
Salamina,2009-06-30,2009,6,0.6119616204588888,0.6738523062398243,0.0395,0.9984,0.2027221422743976,6505.0
Salamina,2009-07-31,2009,7,0.7261124448944947,0.7400671702478774,0.0687,0.9822,0.09943767536962589,6505.0
Salamina,2009-08-31,2009,8,0.669266653548929,0.6952013308623233,0.0329,0.9945,0.12589083651986804,6505.0
Salamina,2009-09-30,2009,9,0.6172896169495011,0.6133122235873782,0.0312,0.9945,0.1463286177523943,6505.0
Salamina,2009-10-31,2009,10,0.612127118923448,0.6539430328662753,0.0328,0.9979,0.1907206698088058,6505.0
Salamina,2009-11-30,2009,11,0.6400126787767573,0.699320859721277,0.0208,0.998,0.19986099775844635,6512.5
Salamina,2009-12-31,2009,12,0.7296857293906169,0.744226943431306,0.0452,0.9792,0.1091865577074253,6510.0
Salamina,2010-01-31,2010,1,0.7294833249548245,0.7343641983198723,0.0492,0.9432,0.07952250465103206,6513.0
Salamina,2010-02-28,2010,2,0.6674080722211626,0.6970678732778128,0.0375,0.9948,0.1365741177724368,6505.0
Salamina,2010-03-31,2010,3,0.6534723039481587,0.669973948150959,0.0336,0.9978,0.13640822807599934,6504.5
Salamina,2010-04-30,2010,4,0.6416617550651138,0.6911369046055719,0.0423,0.9963,0.1744660079463069,6505.0
Salamina,2010-05-31,2010,5,0.7386595792509485,0.769579819572871,0.0526,0.9977,0.1156933013755301,6505.0
Salamina,2010-06-30,2010,6,0.5412890594928689,0.5724867002292142,0.0127,0.9978,0.23569099850866684,6505.0
Salamina,2010-07-31,2010,7,0.6656331346798339,0.7324591021690989,0.0294,0.9994,0.1977065442364446,6505.0
Salamina,2010-08-31,2010,8,0.6143652597343363,0.6244750061454599,0.0152,0.9989,0.17572046021176949,6505.0
Salamina,2010-09-30,2010,9,0.6218642990066371,0.6577338433520626,0.0214,0.999,0.2006563198110511,6504.5
Salamina,2010-10-31,2010,10,0.327172395500081,0.267539551809998,0.0301,0.9966,0.2093683248619283,6505.0
Salamina,2010-11-30,2010,11,0.36663076087968544,0.30671610201308935,0.0078,0.9978,0.2271993419366006,6513.0
Salamina,2010-12-31,2010,12,0.540733420695485,0.6133523292839701,0.0167,0.9986,0.25163791725492335,6510.0
