Municipio,Año,Mes,ALLSKY_SFC_LW_DWN,GWETROOT,PRECTOTCORR,PS,RH2M,T2M,WS2M,NDVI,NDVI_min,NDVI_max,NDVI_std,n_observaciones_16d
Aguadas,2011,11,31.78,1.0,9.85,81.6,92.35,16.69,0.25,0.7543,0.6852,0.8234,0.0977221571599808,2
Aguadas,2011,12,32.01,1.0,11.43,81.58,90.86,17.05,0.27,0.7443500000000001,0.7335,0.7552,0.015344217151748,2
Aguadas,2012,1,32.08,0.99,10.31,81.6,90.57,17.23,0.23,0.08915,0.0831,0.0952,0.0085559920523572,2
Aguadas,2012,2,31.68,0.97,5.79,81.59,87.3,17.38,0.25,0.6872,0.6102,0.7642,0.1088944443027283,2
Aguadas,2012,3,32.14,0.95,6.88,81.58,88.42,17.33,0.19,0.5589500000000001,0.3621,0.7558,0.2783879397531437,2
Aguadas,2012,4,32.22,0.99,9.86,81.67,89.59,17.31,0.19,0.56925,0.5654,0.5731,0.0054447222151364,2
Aguadas,2012,5,31.95,0.99,9.33,81.65,90.24,17.83,0.17,0.5126999999999999,0.2337,0.7917,0.3945655839020935,2
Aguadas,2012,6,31.69,0.93,6.83,81.72,87.12,17.71,0.2,0.7602500000000001,0.6097,0.9108,0.2129098518152695,2
Aguadas,2012,7,31.58,0.9,5.46,81.68,86.65,17.68,0.15,0.74545,0.7445,0.7464,0.0013435028842543,2
Aguadas,2012,8,31.88,0.9,8.02,81.73,87.66,17.37,0.2,0.4942999999999999,0.2746,0.714,0.310702719653369,2
Aguadas,2012,9,31.51,0.88,6.93,81.74,85.83,17.43,0.22,0.6645,0.5587,0.7703,0.1496237948990734,2
Aguadas,2012,10,31.7,0.93,7.62,81.63,89.63,17.2,0.25,0.8069500000000001,0.7871,0.8268,0.0280721392131058,2
Aguadas,2012,11,31.77,0.98,10.2,81.62,90.98,17.5,0.23,0.5181,0.5181,0.5181,,1
Aguadas,2012,12,31.69,0.99,8.61,81.58,90.67,17.25,0.24,0.6611,0.5327,0.7895,0.1815850214087054,2
Aguadas,2013,1,32.02,0.92,3.44,81.61,87.2,17.81,0.24,0.5428499999999999,0.2981,0.7876,0.346128769390815,2
Aguadas,2013,2,32.31,0.95,9.5,81.58,90.07,17.67,0.21,0.4115499999999999,0.2689,0.5542,0.201737564672522,2
Aguadas,2013,3,32.31,0.97,8.4,81.63,88.97,18.26,0.2,0.2148,0.202,0.2276,0.0181019335983756,2
Aguadas,2013,4,32.2,0.96,6.21,81.66,89.55,18.15,0.21,0.6082000000000001,0.5273,0.6891,0.1144098771959833,2
Aguadas,2013,5,32.15,0.99,11.24,81.73,91.19,17.59,0.2,0.6355500000000001,0.4746,0.7965,0.2276176728639496,2
Aguadas,2013,6,31.72,0.96,7.4,81.7,87.88,17.96,0.18,0.5031,0.3105,0.6957,0.2723775321130581,2
Aguadas,2013,7,31.46,0.93,7.19,81.73,86.72,17.6,0.17,0.71045,0.6646,0.7563,0.0648416918348064,2
Aguadas,2013,8,31.91,0.93,9.12,81.69,88.13,17.46,0.19,0.4213,0.1322,0.7104,0.4088491408820618,2
Aguadas,2013,9,31.78,0.96,8.35,81.69,88.48,17.55,0.2,0.6799999999999999,0.6491,0.7109,0.0436991990773286,2
Aguadas,2013,10,31.77,0.97,9.55,81.65,89.69,17.45,0.21,0.7437,0.7437,0.7437,,1
Aguadas,2013,11,31.87,0.99,9.84,81.57,91.89,16.96,0.25,0.4316,0.1602,0.703,0.3838175608280579,2
Aguadas,2013,12,31.84,0.99,7.73,81.6,90.73,17.33,0.22,0.54605,0.311,0.7811,0.3324108978357959,2
Aguadas,2014,1,32.31,0.94,3.79,81.58,89.14,17.68,0.23,0.5528,0.4273,0.6783,0.1774838020778234,2
Aguadas,2014,2,32.33,0.92,7.28,81.56,90.28,17.62,0.22,0.4811499999999999,0.1478,0.8145,0.4714280910170712,2
Aguadas,2014,3,32.1,0.98,6.52,81.65,88.73,17.77,0.24,0.45865,0.1304,0.7869,0.4642156018489685,2
Aguadas,2014,4,32.13,0.95,8.98,81.63,88.06,18.5,0.18,0.7515000000000001,0.7424,0.7606,0.0128693434175952,2
Aguadas,2014,5,32.01,0.99,8.45,81.7,90.36,17.86,0.2,0.49825,0.2488,0.7477,0.3527755731339686,2
Aguadas,2014,6,31.9,0.95,6.51,81.7,87.59,18.05,0.17,0.42995,0.3038,0.5561,0.1784030408933659,2
Aguadas,2014,7,31.56,0.88,5.1,81.75,84.61,17.96,0.17,0.64955,0.6052,0.6939,0.0627203714912467,2
Aguadas,2014,8,31.6,0.77,4.93,81.74,84.82,17.63,0.2,0.61995,0.5529,0.687,0.0948230193571161,2
Aguadas,2014,9,31.71,0.83,8.93,81.69,87.48,17.79,0.22,0.34525,0.3014,0.3891,0.0620132647100602,2
Aguadas,2014,10,32.12,0.94,9.29,81.66,90.27,17.34,0.21,0.225,0.225,0.225,,1
Aguadas,2014,11,31.85,0.99,9.94,81.63,91.81,17.17,0.24,0.38895,0.2399,0.538,0.2107885314717098,2
Aguadas,2014,12,31.51,0.99,8.46,81.62,90.22,17.41,0.23,0.6375000000000001,0.4801,0.7949,0.2225972147175251,2
Aguadas,2015,1,31.35,0.88,2.66,81.64,86.16,17.18,0.26,0.5056499999999999,0.2478,0.7635,0.3646549670579024,2
Aguadas,2015,2,32.18,0.88,4.99,81.64,88.25,17.94,0.22,0.75635,0.6687,0.844,0.1239558187420017,2
Aguadas,2015,3,32.34,0.86,5.32,81.65,88.67,17.92,0.21,0.43105,0.1396,0.7225,0.4121725427536385,2
Aguadas,2015,4,32.22,0.92,5.0,81.63,88.97,18.1,0.2,0.58195,0.3807,0.7832,0.2846104794275854,2
Aguadas,2015,5,32.14,0.86,4.36,81.69,87.7,18.4,0.18,0.4435,0.2367,0.6503,0.292459364698756,2
Aguadas,2015,6,31.75,0.79,1.96,81.71,83.89,18.1,0.19,0.69255,0.6857,0.6994,0.0096873629022557,2
Aguadas,2015,7,31.88,0.67,3.84,81.72,82.53,18.2,0.2,0.46105,0.2048,0.7173,0.3623922253581056,2
Aguadas,2015,8,31.98,0.64,3.98,81.67,79.61,18.8,0.18,0.6002000000000001,0.4222,0.7782,0.2517300141024108,2
Aguadas,2015,9,31.61,0.64,3.24,81.66,78.54,18.97,0.2,0.605,0.5255,0.6845,0.112429978208661,2
Aguadas,2015,10,32.21,0.68,6.22,81.69,86.57,18.1,0.21,0.4546,0.4546,0.4546,,1
Aguadas,2015,11,32.13,0.81,5.67,81.58,90.59,17.57,0.22,0.8391,0.7716,0.9066,0.0954594154601839,2
Aguadas,2015,12,31.45,0.75,1.03,81.6,84.0,18.31,0.24,0.7772,0.7598,0.7946,0.0246073159852918,2
Aguadas,2016,1,32.06,0.63,1.57,81.69,80.92,19.13,0.24,0.7139,0.7098,0.718,0.0057982756057296,2
Aguadas,2016,2,32.57,0.58,2.15,81.58,78.15,20.21,0.18,0.51315,0.427,0.5993,0.1218344983984421,2
Aguadas,2016,3,32.5,0.6,3.2,81.73,81.69,19.85,0.2,0.4181999999999999,0.1354,0.701,0.3999395954391112,2
Aguadas,2016,4,32.45,0.69,6.95,81.68,87.38,18.89,0.21,0.31305,0.0841,0.542,0.3237841951053201,2
Aguadas,2016,5,32.21,0.79,6.37,81.77,88.69,18.57,0.16,0.71375,0.6334,0.7941,0.1136320597366782,2
Aguadas,2016,6,31.56,0.78,3.9,81.81,86.68,17.79,0.19,0.8106,0.7648,0.8564,0.0647709811566877,2
Aguadas,2016,7,31.71,0.72,4.33,81.76,85.93,17.79,0.18,0.3827,0.2496,0.5158,0.188231825151859,2
Aguadas,2016,8,31.8,0.72,7.92,81.74,83.32,18.23,0.18,0.6757,0.573,0.7784,0.1452397328557168,2
Aguadas,2016,9,31.79,0.79,6.38,81.76,86.82,17.85,0.21,0.8197000000000001,0.8091,0.8303,0.0149906637611547,2
Aguadas,2016,10,31.9,0.85,7.07,81.63,90.59,17.61,0.25,0.24405,0.1633,0.3248,0.1141977451616274,2
Aguadas,2016,11,31.78,0.94,7.03,81.61,90.56,17.45,0.24,0.7897,0.7897,0.7897,,1
Aguadas,2016,12,31.87,0.96,5.56,81.63,91.13,17.24,0.22,0.434,0.1239,0.7441,0.4385476256918967,2
Aguadas,2017,1,31.92,0.95,6.59,81.66,88.79,17.47,0.2,0.45185,0.2417,0.662,0.2971969801327059,2
