municipio,date,anio,mes,precip_mm,precip_mean_mm,precip_max_mm,n_pixeles
Pácora,2015-12-31,2015,12,1681.983916055352,4.609140178338289,30.642368986993173,18.0
Pácora,2016-12-31,2016,12,1904.8012161420238,5.199874820996525,39.0762743873918,18.0
Pácora,2017-12-31,2017,12,2458.3692147225674,6.715437663205592,66.25006275302133,18.0
Pácora,2018-12-31,2018,12,2349.7425825321457,6.426349284687269,37.839657528778055,18.0
Pácora,2019-12-31,2019,12,2049.4534151496296,5.619588352565781,49.254320071362514,18.0
Pácora,2020-12-31,2020,12,2103.680853805623,5.749350069307355,49.30883239023911,18.0
Pácora,2021-12-31,2021,12,2062.536967493601,5.6492687573133535,37.383443061056376,18.0
Pácora,2022-12-31,2022,12,2923.8030987157726,8.0189751159273,94.82041035395643,18.0
Pácora,2023-12-31,2023,12,2076.4207102823393,5.6645122620676025,60.47278377600888,18.0
Pácora,2024-12-31,2024,12,2154.2454090269407,5.893602746394695,59.39465428828748,18.0
Pácora,2025-12-31,2025,12,2656.5079163892656,7.368525220658015,89.06493894832651,18.0
Riosucio,2005-12-31,2005,12,2405.5283673882186,6.576644246496552,57.02791464306288,24.0
Riosucio,2006-12-31,2006,12,2364.8923232026964,6.467893256134974,63.03483053695325,24.0
Riosucio,2007-12-31,2007,12,2492.1790962097857,6.784689110813939,72.73412626603353,24.0
Riosucio,2008-12-31,2008,12,2948.6012215546884,8.055176446554976,98.81767481786513,24.0
Riosucio,2009-12-31,2009,12,2140.5633358047266,5.8678231175870375,44.20972249973953,24.0
Riosucio,2010-12-31,2010,12,2844.930729766674,7.786173221927715,62.8939709426621,24.0
Riosucio,2011-12-31,2011,12,2700.05458470795,7.40525626306352,53.74697516805192,24.0
Riosucio,2012-12-31,2012,12,2124.591808832943,5.802882843319941,48.257571411012925,24.0
Riosucio,2013-12-31,2013,12,2265.8635676495314,6.215658945762677,48.22393699324709,24.0
Riosucio,2014-12-31,2014,12,1881.8627489132,5.160981104726734,38.38861777930796,24.0
Riosucio,2015-12-31,2015,12,1955.4446443943839,5.354178920119403,35.731170811943855,24.0
Riosucio,2016-12-31,2016,12,1919.4989518759612,5.240968416461785,39.330095996053466,24.0
Riosucio,2017-12-31,2017,12,2451.8916900538184,6.696601439746083,48.49550544743565,24.0
Riosucio,2018-12-31,2018,12,2308.6462425755617,6.30919892785024,48.16913400394672,24.0
Riosucio,2019-12-31,2019,12,2097.679642919547,5.750760096601574,52.06833665165641,24.0
Riosucio,2020-12-31,2020,12,2161.7781477251906,5.90042990628072,45.16352926118804,24.0
Riosucio,2021-12-31,2021,12,2166.296065136968,5.934374898482961,40.04548508472072,24.0
Riosucio,2022-12-31,2022,12,2790.718513861561,7.648857586514346,69.88871017122777,24.0
Riosucio,2023-12-31,2023,12,2060.7837123065005,5.622551184139831,54.667914367186654,24.0
Riosucio,2024-12-31,2024,12,2212.2787884837107,6.042118681276296,52.625496520852245,24.0
Riosucio,2025-12-31,2025,12,2583.742093287619,7.165628334835639,92.47155914810148,24.0
Risaralda,2005-12-31,2005,12,2458.4956127597443,6.731538291695621,57.94287715419646,9.0
Risaralda,2006-12-31,2006,12,2392.5576968258747,6.5399324363673905,52.085185086855326,9.0
Risaralda,2007-12-31,2007,12,2306.926649183035,6.278125975277994,48.75492598933558,9.0
Risaralda,2008-12-31,2008,12,2874.8107829122773,7.853900769531843,60.57090295258389,9.0
Risaralda,2009-12-31,2009,12,2151.0906610814154,5.891297927028661,50.80972846605445,9.0
Risaralda,2010-12-31,2010,12,2770.117508771599,7.574151954630988,74.83031172393471,9.0
Risaralda,2011-12-31,2011,12,2824.083690069055,7.745562507324724,64.36516746910671,9.0
Risaralda,2012-12-31,2012,12,1988.6438688831306,5.426932682367163,48.13548473645282,9.0
Risaralda,2013-12-31,2013,12,2296.132133645076,6.309021642063296,53.96994820461478,9.0
Risaralda,2014-12-31,2014,12,1938.3667718117597,5.318052798498773,32.68746883894808,9.0
Risaralda,2015-12-31,2015,12,1873.0895943660892,5.122630567210101,47.38369676630984,9.0
Risaralda,2016-12-31,2016,12,1848.5644687398149,5.0524772710310915,37.31612621327883,9.0
Risaralda,2017-12-31,2017,12,2308.2948752914067,6.303146598639329,68.08443424778599,9.0
Risaralda,2018-12-31,2018,12,2252.492226876399,6.164238852094152,52.28164781037199,9.0
Risaralda,2019-12-31,2019,12,2121.108576333651,5.81596406105911,58.15164803433163,9.0
