municipio,date,humedad_suelo_capa1,humedad_suelo_capa2,radiacion_solar_j_m2,viento_u_ms,viento_v_ms,anio,mes,temp_media_c,temp_min_c,temp_max_c,temp_rocio_c,precip_mm,et_potencial_mm,et_real_mm,escorrentia_sup_mm,escorrentia_sub_mm,balance_hidrico_mm,amplitud_termica_c,velocidad_viento_ms,deficit_hidrico_mm,estres_hidrico,ratio_et,humedad_suelo_total,dif_temp_rocio,radiacion,presion_kpa,precip_3m,precip_6m,balance_3m,balance_6m,ndvi_mean
Villamaria,2019-12-01,0.4292314727018578,0.4311756320471853,17258496.22659659,-0.5691042213477511,0.1068482004175238,2019,12,13.77123494261889,9.957326783426026,19.00142257550482,11.826518794967114,27.6582521683108,-6.0029433599115,-3.1837912834304,10.4042883290384,13.629437730971999,33.6611955282223,9.044095792078792,0.5790476255786681,-33.6611955282223,0,0.5303717897896554,0.8604071047490431,1.944716147651775,17258496.22659659,76.5638100480148,82.32540936329649,187.1392180444398,98.97731529722739,223.0933276738888,0.4553167756642644
Villamaria,2020-01-01,0.4045560647797893,0.4057013002653556,19472261.048472986,-0.5446614320681662,0.056896110290404,2020,1,14.50558090479933,10.018445477470493,19.72659233318933,11.277272565832334,10.225940064849901,-8.7214327260573,-3.3932514942696,2.5561038161418,5.4590064827352,18.947372790907202,9.708146855718837,0.5476250934249849,-18.947372790907202,0,0.3890704646728443,0.8102573650451449,3.228308338966997,19472261.048472986,77.1827515271824,56.180558904491804,151.8757320592519,76.33145240584369,190.9541026275024,0.6666799524325606
Villamaria,2020-02-01,0.410793291391961,0.4109073896348428,20234128.29569241,-0.6130366741990029,0.0530405364682651,2020,2,14.846459543666356,9.935311633570223,20.377900996986966,11.169711457726919,14.5105560490789,-9.4348901244511,-3.5828012874708,4.5462309600612,6.4680387938129,23.94544617353,10.442589363416744,0.6153269557087645,-23.94544617353,0,0.37973962811982054,0.8217006810268038,3.676748085939437,20234128.29569241,77.17966879652639,52.394748282239604,134.9916958899917,76.55401449265949,176.3863313648761,0.5588125590322078
Villamaria,2020-03-01,0.4184100943153254,0.4190734748744668,19875435.176940035,-0.4132020076730217,-0.0766313069139229,2020,3,14.842460739513399,10.825184716634226,19.751076291836,12.058394240018231,18.3071540062485,-8.2336706550066,-3.5417032678889,6.1840465723425995,7.3009206035135,26.5408246612551,8.925891575201774,0.4202478510883211,-26.5408246612551,0,0.43014881775531477,0.8374835691897922,2.784066499495168,19875435.176940035,77.20937260738442,43.043650120177304,125.36905948347379,69.4336436256923,168.4109589229197,0.5537452535862432
Villamaria,2020-04-01,0.433041405985305,0.4356131693919359,17584785.923677675,-0.3676168509480968,-0.0363335022614871,2020,4,14.478281121529903,10.818731927787098,20.065322556934177,13.05555548656065,55.5553917906022,-5.4548442035775,-3.4356435956575,28.0046574901002,23.7538281565001,61.0102359941797,9.246590629147079,0.36940800273895086,-61.0102359941797,0,0.6298336116067039,0.8686545753772409,1.4227256349692539,17584785.923677675,77.24227673833558,88.3731018459296,144.5536607504214,111.4965068289648,187.8279592348085,0.3756398978447837
Villamaria,2020-05-01,0.4335637089805547,0.4373498466888602,14929427.572159816,-0.4008872789692668,-0.0353508181066713,2020,5,14.599896880621543,11.300571412374211,19.58097228951499,13.572192563886915,68.85896948063649,-4.3396124834274,-3.0828499481857,36.4938265882979,29.4538025176264,73.19858196406389,8.280400877140778,0.4024429037518163,-73.19858196406389,0,0.7103976842071777,0.8709135556694149,1.0277043167346278,14929427.572159816,77.25134916783237,142.72151527748719,195.1162635597268,160.74964261949867,237.3036571121582,0.4511203626550213
Villamaria,2020-06-01,0.4335986231617808,0.4376272716348432,16979262.16925808,-0.4977391097562834,-0.0291697210566473,2020,6,13.991198945149904,10.394467774087559,19.711738885426655,12.852273653933423,60.958570718942795,-4.597305881244901,-3.3972377761904,30.0726231019633,27.2367078214513,65.5558766001877,9.317271111339096,0.4985931146811999,-65.5558766001877,0,0.738962906299672,0.871225894796624,1.1389252912164807,16979262.16925808,77.22194803041408,185.37293199018148,228.41658211035877,199.7646945584313,269.1983381841236,0.4190195672484014
Villamaria,2020-07-01,0.4332641831247228,0.4373940769869016,18277112.42454224,-0.4378207656976723,-0.0251065416512538,2020,7,13.72443014437124,9.920394455250232,19.728909695533105,12.434026498034655,63.7133581289713,-4.9982402217605,-3.6199163931727,31.480143315036297,28.7826040060862,68.7115983507318,9.808515240282873,0.4385400338735133,-68.7115983507318,0,0.7242383232504984,0.8706582601116244,1.2904036463365856,18277112.42454224,77.16745926256453,193.5308983285506,281.9040001744802,207.46605691498337,318.9625637439482,0.4259078165423631
Villamaria,2020-08-01,0.4320305278647508,0.4354009551741604,19134065.13738019,-0.5326375074977518,0.0949193027131519,2020,8,13.779287062172159,9.899824473236208,19.593339429279695,12.084854416852295,52.096581068268996,-6.0146232767000996,-3.7046148559439,24.811873574056403,24.100971337000903,58.111204344969096,9.693514956043487,0.5410290088534705,-58.111204344969096,0,0.6159347479383899,0.8674314830389112,1.6944326453198642,19134065.13738019,77.19038265809317,176.7685099161831,319.4900251936703,192.3786792958886,353.1283219153873,0.3928416558647816
Villamaria,2020-09-01,0.4327057949820435,0.4357190959877607,20279151.487540778,-0.44493825971382,0.030985804991304,2020,9,13.735356660250943,9.672916955375797,19.889003621224333,12.143978967351927,56.131556531228,-6.3362872445566,-3.8958079461966997,27.0585237325486,24.471352372899002,62.4678437757846,10.216086665848536,0.4460158910488749,-62.4678437757846,0,0.6148409014102739,0.8684248909698042,1.591377692899016,20279151.487540778,77.17867729628544,171.94149572846828,357.3144277186498,189.2906464714855,389.0553410299168,0.3693479604458841
