municipio,date,anio,et_real_mm,et_potencial_mm,n_pixeles
Manizales,2019-12-31,2019,1136.0446045894178,1190.945875213351,35.0
Manizales,2020-12-31,2020,1146.4058031481131,1221.9684999051774,35.0
Manizales,2021-12-31,2021,1122.395884695619,1125.3141096150198,35.0
Manizales,2022-12-31,2022,1068.6919780011378,1077.2254883368103,35.0
Manizales,2023-12-31,2023,1125.5874834060307,1131.8109425374548,35.0
Manizales,2024-12-31,2024,1119.6284278399394,1162.919438649725,35.0
Manzanares,2005-12-31,2005,1077.1376425855517,1077.9579636670894,18.0
Manzanares,2006-12-31,2006,1073.1166032953108,1078.7079425433042,18.0
Manzanares,2007-12-31,2007,1044.9430502746097,1073.4062103929027,18.0
Manzanares,2008-12-31,2008,1041.1321081537815,1041.1575411913818,18.0
Manzanares,2009-12-31,2009,1099.5543726235746,1100.3954795099287,18.0
Manzanares,2010-12-31,2010,1041.3531474440222,1094.582467258133,18.0
Manzanares,2011-12-31,2011,1069.6010139416987,1069.6010139416987,18.0
Manzanares,2012-12-31,2012,1126.2290240811158,1126.9938318546688,18.0
Manzanares,2013-12-31,2013,1083.0569074778205,1115.5550485847068,18.0
Manzanares,2014-12-31,2014,1103.8884664131815,1118.6768905787922,18.0
Manzanares,2015-12-31,2015,1118.2536544148716,1151.3288128432619,18.0
Manzanares,2016-12-31,2016,1065.3064216307566,1091.4154626109002,18.0
Manzanares,2017-12-31,2017,1082.349260667512,1091.7059146599074,18.0
Manzanares,2018-12-31,2018,1052.3463455851293,1067.4266159695821,18.0
Manzanares,2019-12-31,2019,1114.6757498943816,1226.4302915082387,18.0
Manzanares,2020-12-31,2020,1215.843346007605,1253.0954795099287,18.0
Manzanares,2021-12-31,2021,1104.2471905365446,1155.8433037600341,18.0
Manzanares,2022-12-31,2022,1105.7372201098442,1105.7752429235322,18.0
Manzanares,2023-12-31,2023,1159.7934516265318,1167.0964934516269,18.0
Manzanares,2024-12-31,2024,1111.9417828474866,1197.6852978453744,18.0
Marmato,2005-12-31,2005,1168.8299539170507,1173.5631336405531,7.0
Marmato,2006-12-31,2006,1161.1276497695853,1175.9755760368666,7.0
Marmato,2007-12-31,2007,1090.2297235023043,1163.2391705069126,7.0
Marmato,2008-12-31,2008,1146.258064516129,1149.6930875576038,7.0
Marmato,2009-12-31,2009,1189.8566820276499,1194.7979262672811,7.0
Marmato,2010-12-31,2010,1082.3368663594472,1200.3559907834103,7.0
Marmato,2011-12-31,2011,1178.2483870967744,1179.002534562212,7.0
Marmato,2012-12-31,2012,1223.3585253456222,1234.4603686635946,7.0
Marmato,2013-12-31,2013,1142.48732718894,1210.0746543778803,7.0
Marmato,2014-12-31,2014,1194.82534562212,1224.1232718894012,7.0
Marmato,2015-12-31,2015,1195.50668202765,1272.7794930875577,7.0
Marmato,2016-12-31,2016,1113.1246543778802,1214.9034562211982,7.0
Marmato,2017-12-31,2017,1199.5375576036868,1228.2336405529954,7.0
Marmato,2018-12-31,2018,1137.1928571428573,1163.223732718894,7.0
Marmato,2019-12-31,2019,1217.6684331797237,1336.220737327189,7.0
Marmato,2020-12-31,2020,1226.4239631336407,1356.7857142857142,7.0
